Proteotoxic Stress Proteins		
This table was generated by retriving a list of heat shock and autophagy proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4) (Heat shock protein family B member 4) [Cleaved into: Alpha-crystallin A(1-172); Alpha-crystallin A(1-168); Alpha-crystallin A(1-162)]	CRYAA CRYA1 HSPB4	actin filament organization [GO:0007015]; apoptotic process involved in morphogenesis [GO:0060561]; embryonic camera-type eye morphogenesis [GO:0048596]; glutathione biosynthetic process [GO:0006750]; lens development in camera-type eye [GO:0002088]; lens fiber cell morphogenesis [GO:0070309]; microtubule-based process [GO:0007017]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of intracellular transport [GO:0032387]; positive regulation of cell growth [GO:0030307]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to UV-A [GO:0070141]; tubulin complex assembly [GO:0007021]; visual perception [GO:0007601]
Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Heat shock protein family B member 5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	CRYAB CRYA2 HSPB5	apoptotic process involved in morphogenesis [GO:0060561]; cellular response to gamma radiation [GO:0071480]; glutathione metabolic process [GO:0006749]; lens development in camera-type eye [GO:0002088]; microtubule polymerization or depolymerization [GO:0031109]; muscle contraction [GO:0006936]; muscle organ development [GO:0007517]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of intracellular transport [GO:0032387]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; regulation of programmed cell death [GO:0043067]; response to estradiol [GO:0032355]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; stress-activated MAPK cascade [GO:0051403]; tubulin complex assembly [GO:0007021]
Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	DAXX BING2 DAP6	androgen receptor signaling pathway [GO:0030521]; cellular response to cadmium ion [GO:0071276]; cellular response to copper ion [GO:0071280]; cellular response to diamide [GO:0072738]; cellular response to heat [GO:0034605]; cellular response to sodium arsenite [GO:1903936]; cellular response to unfolded protein [GO:0034620]; chromatin remodeling [GO:0006338]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; JNK cascade [GO:0007254]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; neuron intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0036480]; nucleosome assembly [GO:0006334]; regulation of apoptotic process [GO:0042981]; regulation of DNA-templated transcription [GO:0006355]; regulation of gene expression [GO:0010468]; regulation of protein ubiquitination [GO:0031396]
DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (HSDJ) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2) (Human DnaJ protein 2) (hDj-2)	DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4	negative regulation of apoptotic process [GO:0043066]; negative regulation of establishment of protein localization to mitochondrion [GO:1903748]; negative regulation of JUN kinase activity [GO:0043508]; negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway [GO:1905259]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of apoptotic process [GO:0043065]; protein folding [GO:0006457]; protein localization to mitochondrion [GO:0070585]; protein refolding [GO:0042026]; regulation of protein transport [GO:0051223]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]
DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)	DNAJA2 CPR3 HIRIP4	positive regulation of cell population proliferation [GO:0008284]; protein refolding [GO:0042026]; response to heat [GO:0009408]
DnaJ homolog subfamily A member 3, mitochondrial (DnaJ protein Tid-1) (hTid-1) (Hepatocellular carcinoma-associated antigen 57) (Tumorous imaginal discs protein Tid56 homolog)	DNAJA3 HCA57 TID1	activation-induced cell death of T cells [GO:0006924]; cellular senescence [GO:0090398]; mitochondrial DNA replication [GO:0006264]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of programmed cell death [GO:0043069]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon-mediated signaling pathway [GO:0060336]; neuromuscular junction development [GO:0007528]; positive regulation of apoptotic process [GO:0043065]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of T cell proliferation [GO:0042102]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; response to heat [GO:0009408]; response to type II interferon [GO:0034341]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; small GTPase-mediated signal transduction [GO:0007264]; T cell differentiation in thymus [GO:0033077]
DnaJ homolog subfamily A member 4	DNAJA4	negative regulation of endothelial cell migration [GO:0010596]; negative regulation of inclusion body assembly [GO:0090084]; positive regulation of gene expression [GO:0010628]; protein refolding [GO:0042026]; response to heat [GO:0009408]
DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)	DNAJB1 DNAJ1 HDJ1 HSPF1	cellular response to heat [GO:0034605]; forebrain development [GO:0030900]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein folding [GO:1903334]; protein folding [GO:0006457]; regulation of cellular response to heat [GO:1900034]; response to unfolded protein [GO:0006986]
DnaJ homolog subfamily B member 2 (Heat shock 40 kDa protein 3) (Heat shock protein J1) (HSJ-1)	DNAJB2 HSJ1 HSPF3	ERAD pathway [GO:0036503]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of protein binding [GO:0032091]; negative regulation of protein deubiquitination [GO:0090086]; neuron cellular homeostasis [GO:0070050]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein folding [GO:0006457]; protein refolding [GO:0042026]; regulation of protein folding [GO:1903332]; regulation of protein localization [GO:0032880]; regulation of protein ubiquitination [GO:0031396]; response to unfolded protein [GO:0006986]
DnaJ homolog subfamily B member 4 (Heat shock 40 kDa protein 1 homolog) (HSP40 homolog) (Heat shock protein 40 homolog) (Human liver DnaJ-like protein)	DNAJB4 DNAJW HLJ1	negative regulation of transcription by RNA polymerase II [GO:0000122]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]
DnaJ homolog subfamily B member 5 (Heat shock protein Hsp40-2) (Heat shock protein Hsp40-3) (Heat shock protein cognate 40) (Hsc40)	DNAJB5 HSC40	negative regulation of transcription by RNA polymerase II [GO:0000122]; protein folding [GO:0006457]; response to unfolded protein [GO:0006986]
DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6 HSJ2 MRJ MSJ1	actin cytoskeleton organization [GO:0030036]; chorio-allantoic fusion [GO:0060710]; chorion development [GO:0060717]; extracellular matrix organization [GO:0030198]; intermediate filament organization [GO:0045109]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of inclusion body assembly [GO:0090084]; nervous system process [GO:0050877]; protein folding [GO:0006457]; protein localization to nucleus [GO:0034504]; regulation of cellular response to heat [GO:1900034]; regulation of protein localization [GO:0032880]; syncytiotrophoblast cell differentiation involved in labyrinthine layer development [GO:0060715]
DnaJ homolog subfamily B member 7	DNAJB7 HSC3	
DnaJ homolog subfamily B member 8	DNAJB8	negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]
DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)	DNAJC13 KIAA0678 RME8	endosome organization [GO:0007032]; osteoblast differentiation [GO:0001649]; protein transport [GO:0015031]; receptor-mediated endocytosis [GO:0006898]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of early endosome to recycling endosome transport [GO:1902954]
DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]	DNAJC2 MPHOSPH11 MPP11 ZRF1	de novo' cotranslational protein folding [GO:0051083]; DNA replication [GO:0006260]; negative regulation of DNA biosynthetic process [GO:2000279]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of cellular response to heat [GO:1900034]; regulation of translational fidelity [GO:0006450]
DnaJ homolog subfamily C member 3 (Endoplasmic reticulum DNA J domain-containing protein 6) (ER-resident protein ERdj6) (ERdj6) (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)	DNAJC3 P58IPK PRKRI	cellular response to cold [GO:0070417]; defense response to virus [GO:0051607]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation [GO:1903912]; negative regulation of translation in response to endoplasmic reticulum stress [GO:1902010]; positive regulation of translation initiation in response to endoplasmic reticulum stress [GO:0036494]; protein folding in endoplasmic reticulum [GO:0034975]; proteolysis involved in protein catabolic process [GO:0051603]; response to unfolded protein [GO:0006986]
Auxilin (EC 3.1.3.-) (DnaJ homolog subfamily C member 6)	DNAJC6 KIAA0473	clathrin coat disassembly [GO:0072318]; clathrin-dependent endocytosis [GO:0072583]; intracellular transport [GO:0046907]; regulation of clathrin coat assembly [GO:1905443]; regulation of clathrin-dependent endocytosis [GO:2000369]; synaptic vesicle recycling [GO:0036465]; synaptic vesicle uncoating [GO:0016191]
DnaJ homolog subfamily C member 7 (Tetratricopeptide repeat protein 2) (TPR repeat protein 2)	DNAJC7 TPR2 TTC2	protein folding [GO:0006457]; regulation of cellular response to heat [GO:1900034]
DnaJ homolog subfamily C member 9 (HDJC9) (DnaJ protein SB73)	DNAJC9	nucleosome assembly [GO:0006334]; positive regulation of ATP-dependent activity [GO:0032781]
EEF1A lysine methyltransferase 3 (EC 2.1.1.-) (Hepatocellular carcinoma-associated antigen 557a) (Methyltransferase-like protein 21B) (Protein-lysine methyltransferase METTL21B) (eEF1A-KMT3)	EEF1AKMT3 FAM119B HCA557A METTL21B	peptidyl-lysine methylation [GO:0018022]
Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	EEF1D EF1D	cellular response to heat [GO:0034605]; cellular response to ionizing radiation [GO:0071479]; cytoplasmic translational elongation [GO:0002182]; positive regulation of transcription by RNA polymerase II [GO:0045944]; translational elongation [GO:0006414]
Electron transfer flavoprotein beta subunit lysine methyltransferase (EC 2.1.1.-) (ETFB lysine methyltransferase) (ETFB-KMT) (Protein N-lysine methyltransferase METTL20)	ETFBKMT C12orf72 METTL20	methylation [GO:0032259]; negative regulation of fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:1904736]
FAS-associated factor 1 (hFAF1) (UBX domain-containing protein 12) (UBX domain-containing protein 3A)	FAF1 UBXD12 UBXN3A CGI-03	apoptotic process [GO:0006915]; ERAD pathway [GO:0036503]; Fas signaling pathway [GO:0036337]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA replication [GO:0045740]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of cell adhesion [GO:0030155]; regulation of protein catabolic process [GO:0042176]
Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52	androgen receptor signaling pathway [GO:0030521]; copper ion transport [GO:0006825]; embryo implantation [GO:0007566]; male sex differentiation [GO:0046661]; negative regulation of microtubule polymerization [GO:0031115]; negative regulation of microtubule polymerization or depolymerization [GO:0031111]; negative regulation of neuron projection development [GO:0010977]; prostate gland development [GO:0030850]; protein folding [GO:0006457]; protein-containing complex localization [GO:0031503]; steroid hormone receptor complex assembly [GO:0006463]
Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)	FKBP5 AIG6 FKBP51	negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; protein folding [GO:0006457]; response to alcohol [GO:0097305]; response to bacterium [GO:0009617]; response to cocaine [GO:0042220]
Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cellular response to reactive oxygen species [GO:0034614]; dendrite development [GO:0016358]; dopamine biosynthetic process [GO:0042416]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotion involved in locomotory behavior [GO:0031987]; neuropeptide signaling pathway [GO:0007218]; positive regulation of dopamine metabolic process [GO:0045964]; positive regulation of MAPK cascade [GO:0043410]
Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-)	HDAC2	behavioral response to ethanol [GO:0048149]; cardiac muscle hypertrophy [GO:0003300]; cellular response to dopamine [GO:1903351]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chromatin remodeling [GO:0006338]; circadian regulation of gene expression [GO:0032922]; dendrite development [GO:0016358]; embryonic digit morphogenesis [GO:0042733]; epidermal cell differentiation [GO:0009913]; eyelid development in camera-type eye [GO:0061029]; fungiform papilla formation [GO:0061198]; hair follicle placode formation [GO:0060789]; heterochromatin formation [GO:0031507]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of dendritic spine development [GO:0061000]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of neuron projection development [GO:0010977]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by competitive promoter binding [GO:0010944]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of male mating behavior [GO:1902437]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of proteolysis [GO:0045862]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; progesterone receptor signaling pathway [GO:0050847]; regulation of cell fate specification [GO:0042659]; regulation of stem cell differentiation [GO:2000736]; response to amphetamine [GO:0001975]; response to amyloid-beta [GO:1904645]; response to caffeine [GO:0031000]; response to cocaine [GO:0042220]; response to hyperoxia [GO:0055093]; response to lipopolysaccharide [GO:0032496]; response to nicotine [GO:0035094]; response to xenobiotic stimulus [GO:0009410]
Protein Hikeshi	HIKESHI C11orf73 HSPC138 HSPC179 HSPC248	cellular response to heat [GO:0034605]; Golgi organization [GO:0007030]; lung development [GO:0030324]; protein import into nucleus [GO:0006606]; protein transport [GO:0015031]
Heterogeneous nuclear ribonucleoprotein H3 (hnRNP H3) (Heterogeneous nuclear ribonucleoprotein 2H9) (hnRNP 2H9)	HNRNPH3 HNRPH3	epithelial cell differentiation [GO:0030855]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]
Heat shock factor-binding protein 1-like protein 1	HSBP1L1	cellular heat acclimation [GO:0070370]
