Mechanical & Extracellular Stress		
This table was generated by retriving a list of proteins related to Mechanotransduction and Focal Adhesion found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Catenin beta-1 (Beta-catenin)	CTNNB1 CTNNB OK/SW-cl.35 PRO2286	acinar cell differentiation [GO:0090425]; adherens junction assembly [GO:0034333]; anterior/posterior axis specification [GO:0009948]; apoptotic signaling pathway [GO:0097190]; astrocyte-dopaminergic neuron signaling [GO:0036520]; bone resorption [GO:0045453]; branching involved in blood vessel morphogenesis [GO:0001569]; branching involved in ureteric bud morphogenesis [GO:0001658]; canonical NF-kappaB signal transduction [GO:0007249]; canonical Wnt signaling pathway [GO:0060070]; canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation [GO:0044338]; cell adhesion [GO:0007155]; cell fate specification [GO:0001708]; cell maturation [GO:0048469]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-matrix adhesion [GO:0007160]; cellular response to growth factor stimulus [GO:0071363]; cellular response to indole-3-methanol [GO:0071681]; central nervous system vasculogenesis [GO:0022009]; chemical synaptic transmission [GO:0007268]; chondrocyte differentiation [GO:0002062]; cranial ganglion development [GO:0061550]; cranial skeletal system development [GO:1904888]; cytokine-mediated signaling pathway [GO:0019221]; detection of muscle stretch [GO:0035995]; dorsal root ganglion development [GO:1990791]; dorsal/ventral axis specification [GO:0009950]; ectoderm development [GO:0007398]; embryonic axis specification [GO:0000578]; embryonic brain development [GO:1990403]; embryonic digit morphogenesis [GO:0042733]; embryonic foregut morphogenesis [GO:0048617]; embryonic forelimb morphogenesis [GO:0035115]; embryonic heart tube development [GO:0035050]; embryonic hindlimb morphogenesis [GO:0035116]; embryonic skeletal limb joint morphogenesis [GO:0036023]; endodermal cell fate commitment [GO:0001711]; endothelial tube morphogenesis [GO:0061154]; epidermal growth factor receptor signaling pathway [GO:0007173]; epithelial cell development [GO:0002064]; epithelial cell differentiation involved in prostate gland development [GO:0060742]; epithelial cell proliferation involved in prostate gland development [GO:0060767]; epithelial to mesenchymal transition [GO:0001837]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; establishment of blood-brain barrier [GO:0060856]; establishment of blood-retinal barrier [GO:1990963]; fibroblast growth factor receptor signaling pathway [GO:0008543]; fungiform papilla formation [GO:0061198]; gastrulation with mouth forming second [GO:0001702]; genitalia morphogenesis [GO:0035112]; glial cell fate determination [GO:0007403]; hair cell differentiation [GO:0035315]; hair follicle morphogenesis [GO:0031069]; hair follicle placode formation [GO:0060789]; hindbrain development [GO:0030902]; hypothalamus development [GO:0021854]; in utero embryonic development [GO:0001701]; layer formation in cerebral cortex [GO:0021819]; lens morphogenesis in camera-type eye [GO:0002089]; lung epithelial cell differentiation [GO:0060487]; lung induction [GO:0060492]; lung-associated mesenchyme development [GO:0060484]; male genitalia development [GO:0030539]; MAPK cascade [GO:0000165]; mesenchymal cell proliferation involved in lung development [GO:0060916]; mesenchymal stem cell differentiation [GO:0072497]; mesenchymal to epithelial transition [GO:0060231]; metanephros morphogenesis [GO:0003338]; midbrain dopaminergic neuron differentiation [GO:1904948]; myoblast proliferation [GO:0051450]; negative regulation of angiogenesis [GO:0016525]; negative regulation of apoptotic process [GO:0043066]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003340]; negative regulation of mitotic cell cycle, embryonic [GO:0045976]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of osteoclast differentiation [GO:0045671]; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903377]; negative regulation of protein sumoylation [GO:0033234]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nephron tubule formation [GO:0072079]; neural plate development [GO:0001840]; neuroblast proliferation [GO:0007405]; neuron fate determination [GO:0048664]; neuron migration [GO:0001764]; neuron projection extension [GO:1990138]; odontogenesis of dentin-containing tooth [GO:0042475]; oligodendrocyte differentiation [GO:0048709]; oocyte development [GO:0048599]; osteoblast differentiation [GO:0001649]; osteoclast differentiation [GO:0030316]; outflow tract morphogenesis [GO:0003151]; oviduct development [GO:0060066]; pancreas development [GO:0031016]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel branching [GO:1905555]; positive regulation of branching involved in lung morphogenesis [GO:0061047]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of determination of dorsal identity [GO:2000017]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of epithelial cell proliferation involved in prostate gland development [GO:0060769]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of fibroblast growth factor receptor signaling pathway [GO:0045743]; positive regulation of gene expression [GO:0010628]; positive regulation of heparan sulfate proteoglycan biosynthetic process [GO:0010909]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of myoblast proliferation [GO:2000288]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of odontoblast differentiation [GO:1901331]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of skeletal muscle tissue development [GO:0048643]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of telomere maintenance via telomerase [GO:0032212]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein localization to cell surface [GO:0034394]; protein polyubiquitination [GO:0000209]; proximal/distal pattern formation [GO:0009954]; regulation of angiogenesis [GO:0045765]; regulation of calcium ion import [GO:0090279]; regulation of centriole-centriole cohesion [GO:0030997]; regulation of centromeric sister chromatid cohesion [GO:0070602]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of fibroblast proliferation [GO:0048145]; regulation of myelination [GO:0031641]; regulation of nephron tubule epithelial cell differentiation [GO:0072182]; regulation of neurogenesis [GO:0050767]; regulation of protein localization to cell surface [GO:2000008]; regulation of protein ubiquitination [GO:0031396]; regulation of secondary heart field cardioblast proliferation [GO:0003266]; regulation of smooth muscle cell proliferation [GO:0048660]; regulation of synapse assembly [GO:0051963]; regulation of T cell proliferation [GO:0042129]; regulation of timing of anagen [GO:0051884]; renal inner medulla development [GO:0072053]; renal outer medulla development [GO:0072054]; renal vesicle formation [GO:0072033]; response to estradiol [GO:0032355]; response to xenobiotic stimulus [GO:0009410]; smooth muscle cell differentiation [GO:0051145]; stem cell population maintenance [GO:0019827]; stem cell proliferation [GO:0072089]; sympathetic ganglion development [GO:0061549]; synapse organization [GO:0050808]; synaptic vesicle clustering [GO:0097091]; synaptic vesicle transport [GO:0048489]; T cell differentiation in thymus [GO:0033077]; thymus development [GO:0048538]; trachea formation [GO:0060440]; transcription by RNA polymerase II [GO:0006366]
Protein enabled homolog	ENAH MENA	actin polymerization or depolymerization [GO:0008154]; actin polymerization-dependent cell motility [GO:0070358]; axon guidance [GO:0007411]; postsynaptic cytoskeleton organization [GO:0099188]
Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	FAT4 CDHF14 FATJ Nbla00548	axonogenesis [GO:0007409]; cell-cell adhesion mediated by cadherin [GO:0044331]; cerebral cortex development [GO:0021987]; epithelial cell differentiation [GO:0030855]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; neurogenesis [GO:0022008]
Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-positive bacterium [GO:0050830]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; inflammatory response [GO:0006954]; innate immune response-activating signaling pathway [GO:0002758]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; leukocyte degranulation [GO:0043299]; leukocyte migration involved in immune response [GO:0002522]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; mesoderm development [GO:0007498]; negative regulation of apoptotic process [GO:0043066]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell population proliferation [GO:0008284]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell shape [GO:0008360]; regulation of DNA-binding transcription factor activity [GO:0051090]; regulation of inflammatory response [GO:0050727]; regulation of phagocytosis [GO:0050764]; regulation of podosome assembly [GO:0071801]; respiratory burst after phagocytosis [GO:0045728]; type II interferon-mediated signaling pathway [GO:0060333]
Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2)	HIPK1 KIAA0630 MYAK NBAK2	adherens junction assembly [GO:0034333]; anterior/posterior pattern specification [GO:0009952]; cell population proliferation [GO:0008283]; definitive hemopoiesis [GO:0060216]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; endothelial cell apoptotic process [GO:0072577]; extrinsic apoptotic signaling pathway [GO:0097191]; eye development [GO:0001654]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; iris morphogenesis [GO:0061072]; lens induction in camera-type eye [GO:0060235]; neuron differentiation [GO:0030182]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; protein phosphorylation [GO:0006468]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; retina layer formation [GO:0010842]; smoothened signaling pathway [GO:0007224]
Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	KAT2B PCAF	cellular response to insulin stimulus [GO:0032869]; cellular response to oxidative stress [GO:0034599]; cellular response to parathyroid hormone stimulus [GO:0071374]; chromatin remodeling [GO:0006338]; gluconeogenesis [GO:0006094]; heart development [GO:0007507]; internal peptidyl-lysine acetylation [GO:0018393]; limb development [GO:0060173]; memory [GO:0007613]; N-terminal peptidyl-lysine acetylation [GO:0018076]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of centriole replication [GO:0046600]; negative regulation of ferroptosis [GO:0110076]; negative regulation of rRNA processing [GO:2000233]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of glycolytic process [GO:0045821]; positive regulation of neuron projection development [GO:0010976]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by glucose [GO:0000432]; protein acetylation [GO:0006473]; regulation of cell cycle [GO:0051726]; regulation of cell division [GO:0051302]; regulation of DNA repair [GO:0006282]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]; transcription initiation-coupled chromatin remodeling [GO:0045815]; vasodilation [GO:0042311]
Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Atrophin-1-interacting protein 1) (AIP-1) (Atrophin-1-interacting protein A) (Membrane-associated guanylate kinase inverted 2) (MAGI-2)	MAGI2 ACVRINP1 AIP1 KIAA0705	cellular response to nerve growth factor stimulus [GO:1990090]; clathrin-dependent endocytosis [GO:0072583]; negative regulation of activin receptor signaling pathway [GO:0032926]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; nerve growth factor signaling pathway [GO:0038180]; nervous system development [GO:0007399]; podocyte development [GO:0072015]; positive regulation of neuron projection development [GO:0010976]; positive regulation of receptor internalization [GO:0002092]; receptor clustering [GO:0043113]; signal transduction [GO:0007165]; SMAD protein signal transduction [GO:0060395]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	Bergmann glial cell differentiation [GO:0060020]; cell motility [GO:0048870]; cellular senescence [GO:0090398]; central nervous system neuron differentiation [GO:0021953]; cerebellar cortex formation [GO:0021697]; chemotaxis [GO:0006935]; endodermal cell differentiation [GO:0035987]; epithelial cell proliferation involved in lung morphogenesis [GO:0060502]; ERBB2-ERBB3 signaling pathway [GO:0038133]; ERK1 and ERK2 cascade [GO:0070371]; face development [GO:0060324]; Golgi inheritance [GO:0048313]; heart development [GO:0007507]; insulin-like growth factor receptor signaling pathway [GO:0048009]; keratinocyte differentiation [GO:0030216]; labyrinthine layer development [GO:0060711]; MAPK cascade [GO:0000165]; melanosome transport [GO:0032402]; myelination [GO:0042552]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of homotypic cell-cell adhesion [GO:0034111]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; neuron differentiation [GO:0030182]; neuron projection morphogenesis [GO:0048812]; placenta blood vessel development [GO:0060674]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of autophagy [GO:0010508]; positive regulation of axonogenesis [GO:0050772]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endodermal cell differentiation [GO:1903226]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of muscle contraction [GO:0045933]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of axon regeneration [GO:0048679]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of Golgi inheritance [GO:0090170]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of stress-activated MAPK cascade [GO:0032872]; regulation of vascular associated smooth muscle contraction [GO:0003056]; response to axon injury [GO:0048678]; response to glucocorticoid [GO:0051384]; response to oxidative stress [GO:0006979]; Schwann cell development [GO:0014044]; signal transduction [GO:0007165]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; trachea formation [GO:0060440]; triglyceride homeostasis [GO:0070328]; type B pancreatic cell proliferation [GO:0044342]; vesicle transport along microtubule [GO:0047496]
Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)	MAP4K1 HPK1	cell population proliferation [GO:0008283]; cellular response to phorbol 13-acetate 12-myristate [GO:1904628]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of MAPK cascade [GO:0043410]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]
Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP	immune response [GO:0006955]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; positive regulation of JNK cascade [GO:0046330]; positive regulation of JUN kinase activity [GO:0043507]; protein phosphorylation [GO:0006468]; vesicle targeting [GO:0006903]
Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK	intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; neuron projection morphogenesis [GO:0048812]; positive regulation of ARF protein signal transduction [GO:0032014]; positive regulation of cell migration [GO:0030335]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of focal adhesion disassembly [GO:0120183]; positive regulation of hippo signaling [GO:0035332]; positive regulation of keratinocyte migration [GO:0051549]; protein phosphorylation [GO:0006468]; regulation of JNK cascade [GO:0046328]; regulation of MAPK cascade [GO:0043408]
Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive oxygen species [GO:0034614]; cellular senescence [GO:0090398]; energy homeostasis [GO:0097009]; Fc-epsilon receptor signaling pathway [GO:0038095]; integrin-mediated signaling pathway [GO:0007229]; JNK cascade [GO:0007254]; JUN phosphorylation [GO:0007258]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagy [GO:0010507]; negative regulation of protein binding [GO:0032091]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell killing [GO:0031343]; positive regulation of cyclase activity [GO:0031281]; positive regulation of establishment of protein localization to mitochondrion [GO:1903749]; positive regulation of gene expression [GO:0010628]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of protein metabolic process [GO:0051247]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; regulation of macroautophagy [GO:0016241]; regulation of protein localization [GO:0032880]; response to mechanical stimulus [GO:0009612]; response to oxidative stress [GO:0006979]; response to UV [GO:0009411]; rhythmic process [GO:0048511]; stress-activated MAPK cascade [GO:0051403]
