Genetoxic Stress Proteins		
This table was generated by retriving a list of DNA Damage/Repair and Cell Cyle proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
DNA oxidative demethylase ALKBH2 (EC 1.14.11.33) (Alkylated DNA repair protein alkB homolog 2) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2) (Oxy DC1)	ALKBH2 ABH2	DNA alkylation repair [GO:0006307]
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.33) (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (hABH3) (DEPC-1) (Prostate cancer antigen 1)	ALKBH3 ABH3 DEPC1	cell population proliferation [GO:0008283]; DNA alkylation repair [GO:0006307]; DNA repair [GO:0006281]; negative regulation of cytoplasmic translation [GO:2000766]
RNA demethylase ALKBH7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial) (Spermatogenesis cell proliferation-related protein) (Spermatogenesis-associated protein 11) (pre-tRNA N1-methyl adenine demethylase ALKBH7) (pre-tRNA N2-dimethyl guanosine demethylase ALKBH7)	ALKBH7 ABH7 SPATA11 UNQ6002/PRO34564	DNA damage response [GO:0006974]; fatty acid metabolic process [GO:0006631]; oxidative RNA demethylation [GO:0035513]; regulation of lipid storage [GO:0010883]; regulation of mitochondrial membrane permeability involved in programmed necrotic cell death [GO:1902445]
tRNA (carboxymethyluridine(34)-5-O)-methyltransferase ALKBH8 (EC 2.1.1.229) (Alkylated DNA repair protein alkB homolog 8) (Alpha-ketoglutarate-dependent dioxygenase ALKBH8) (S-adenosyl-L-methionine-dependent tRNA methyltransferase ALKBH8)	ALKBH8 ABH8	DNA damage response [GO:0006974]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]
Structure-specific endonuclease ANKLE1 (Ankyrin repeat and LEM domain-containing protein 1) (EC 3.1.-.-) (Ankyrin repeat domain-containing protein 41) (LEM-domain containing protein 3)	ANKLE1 ANKRD41 LEM3	DNA damage response [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; negative regulation of mitotic recombination [GO:0045950]; nucleic acid metabolic process [GO:0090304]; protein export from nucleus [GO:0006611]; regulation of lymphoid progenitor cell differentiation [GO:1905456]; regulation of myeloid progenitor cell differentiation [GO:1905453]; resolution of meiotic recombination intermediates [GO:0000712]
Ankyrin repeat domain-containing protein 1 (Cardiac ankyrin repeat protein) (Cytokine-inducible gene C-193 protein) (Cytokine-inducible nuclear protein)	ANKRD1 C193 CARP HA1A2	cardiac muscle tissue morphogenesis [GO:0055008]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to mechanical stimulus [GO:0071260]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to xenobiotic stimulus [GO:0071466]; negative regulation of DNA biosynthetic process [GO:2000279]; negative regulation of transcription by RNA polymerase II [GO:0000122]; phospholipase C/protein kinase C signal transduction [GO:0141212]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein secretion [GO:0050714]; regulation of transcription by RNA polymerase II [GO:0006357]; response to muscle stretch [GO:0035994]; sarcomere organization [GO:0045214]; skeletal muscle cell differentiation [GO:0035914]
AP-5 complex subunit sigma-1 (Adaptor-related protein complex 5 sigma subunit) (Sigma5)	AP5S1 C20orf29	double-strand break repair via homologous recombination [GO:0000724]; endosomal transport [GO:0016197]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
AP-5 complex subunit zeta-1 (Adaptor-related protein complex 5 zeta subunit) (Zeta5)	AP5Z1 KIAA0415 SPG48	autophagosome assembly [GO:0000045]; axon development [GO:0061564]; double-strand break repair via homologous recombination [GO:0000724]; endosomal transport [GO:0016197]; gene expression [GO:0010467]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; late endosome to Golgi transport [GO:0034499]; lysosomal protein catabolic process [GO:1905146]; lysosome organization [GO:0007040]; vesicle-mediated transport [GO:0016192]
Apoptotic protease-activating factor 1 (APAF-1)	APAF1 KIAA0413	apoptotic process [GO:0006915]; cardiac muscle cell apoptotic process [GO:0010659]; cell differentiation [GO:0030154]; cellular response to transforming growth factor beta stimulus [GO:0071560]; forebrain development [GO:0030900]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; kidney development [GO:0001822]; nervous system development [GO:0007399]; neural tube closure [GO:0001843]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; regulation of apoptotic DNA fragmentation [GO:1902510]; regulation of apoptotic process [GO:0042981]; response to G1 DNA damage checkpoint signaling [GO:0072432]; response to hypoxia [GO:0001666]; response to nutrient [GO:0007584]
Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65)	APBB1 FE65 RIR	apoptotic process [GO:0006915]; axonogenesis [GO:0007409]; chromatin organization [GO:0006325]; DNA damage response [GO:0006974]; negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein secretion [GO:0050714]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165]; smooth muscle contraction [GO:0006939]
Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	APC DP2.5	bicellular tight junction assembly [GO:0070830]; cell adhesion [GO:0007155]; cell fate specification [GO:0001708]; cell migration [GO:0016477]; DNA damage response [GO:0006974]; endocardial cushion morphogenesis [GO:0003203]; heart valve development [GO:0003170]; insulin receptor signaling pathway [GO:0008286]; mitotic cytokinesis [GO:0000281]; mitotic spindle assembly checkpoint signaling [GO:0007094]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of microtubule depolymerization [GO:0007026]; nervous system development [GO:0007399]; pattern specification process [GO:0007389]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell migration [GO:0030335]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein localization to centrosome [GO:1904781]; positive regulation of pseudopodium assembly [GO:0031274]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein-containing complex assembly [GO:0065003]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; regulation of microtubule-based movement [GO:0060632]; regulation of microtubule-based process [GO:0032886]; Wnt signaling pathway [GO:0016055]
DNA repair nuclease/redox regulator APEX1 (EC 3.1.11.2) (EC 3.1.21.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (DNA-(apurinic or apyrimidinic site) endonuclease) (Redox factor-1) (REF-1) [Cleaved into: DNA repair nuclease/redox regulator APEX1, mitochondrial]	APEX1 APE APE1 APEX APX HAP1 REF1	base-excision repair [GO:0006284]; base-excision repair, gap-filling [GO:0006287]; cell redox homeostasis [GO:0045454]; DNA catabolic process [GO:0006308]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; positive regulation of gene expression via chromosomal CpG island demethylation [GO:0044029]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of apoptotic process [GO:0042981]; regulation of mRNA stability [GO:0043488]; telomere maintenance [GO:0000723]; telomere maintenance via base-excision repair [GO:0097698]
DNA-(apurinic or apyrimidinic site) endonuclease 2 (EC 3.1.11.2) (AP endonuclease XTH2) (APEX nuclease 2) (APEX nuclease-like 2) (Apurinic-apyrimidinic endonuclease 2) (AP endonuclease 2)	APEX2 APE2 APEXL2 XTH2	base-excision repair [GO:0006284]; DNA recombination [GO:0006310]
Aprataxin and PNK-like factor (EC 3.1.-.-) (Apurinic-apyrimidinic endonuclease APLF) (PNK and APTX-like FHA domain-containing protein) (XRCC1-interacting protein 1)	APLF C2orf13 PALF XIP1	DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; embryo implantation [GO:0007566]; protein localization to chromatin [GO:0071168]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of isotype switching [GO:0045191]; single strand break repair [GO:0000012]
Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT)	APTX AXA1	regulation of protein stability [GO:0031647]; single strand break repair [GO:0000012]
AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	chromatin remodeling [GO:0006338]; nervous system development [GO:0007399]; nucleosome disassembly [GO:0006337]; positive regulation of cell differentiation [GO:0045597]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of nucleotide-excision repair [GO:2000819]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription initiation-coupled chromatin remodeling [GO:0045815]
Activating signal cointegrator 1 complex subunit 1 (ASC-1 complex subunit p50) (Trip4 complex subunit p50)	ASCC1 CGI-18	DNA alkylation repair [GO:0006307]; DNA replication [GO:0006260]; regulation of DNA-templated transcription [GO:0006355]
Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)	ASCC2 ASC1P100 RQT3	DNA alkylation repair [GO:0006307]; DNA replication [GO:0006260]; regulation of DNA-templated transcription [GO:0006355]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]
Activating signal cointegrator 1 complex subunit 3 (EC 5.6.2.4) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)	ASCC3 HELIC1 RQT2	DNA alkylation repair [GO:0006307]; DNA replication [GO:0006260]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]
Histone chaperone ASF1A (Anti-silencing function protein 1 homolog A) (hAsf1) (hAsf1a) (CCG1-interacting factor A) (CIA) (hCIA)	ASF1A CGI-98 HSPC146	DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA replication-dependent chromatin assembly [GO:0006335]; muscle cell differentiation [GO:0042692]; nucleosome assembly [GO:0006334]; osteoblast differentiation [GO:0001649]; replication fork processing [GO:0031297]
Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein)	ASH2L ASH2L1	DNA damage response [GO:0006974]; hemopoiesis [GO:0030097]; positive regulation of cell population proliferation [GO:0008284]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)	ATAD5 C17orf41 Elg1 FRAG1	cell population proliferation [GO:0008283]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; isotype switching [GO:0045190]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; nuclear DNA replication [GO:0033260]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell cycle G2/M phase transition [GO:1902751]; positive regulation of DNA replication [GO:0045740]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; regulation of mitotic cell cycle phase transition [GO:1901990]; signal transduction in response to DNA damage [GO:0042770]
Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1)	ATF2 CREB2 CREBP1	abducens nucleus development [GO:0021742]; adipose tissue development [GO:0060612]; apoptotic process involved in development [GO:1902742]; BMP signaling pathway [GO:0030509]; brainstem development [GO:0003360]; brown fat cell proliferation [GO:0070342]; cellular response to anisomycin [GO:0072740]; cellular response to leucine starvation [GO:1990253]; cellular response to oxidative stress [GO:0034599]; cellular response to virus [GO:0098586]; detection of cell density [GO:0060245]; DNA damage response [GO:0006974]; energy homeostasis [GO:0097009]; facial nucleus development [GO:0021754]; growth plate cartilage chondrocyte differentiation [GO:0003418]; growth plate cartilage chondrocyte proliferation [GO:0003419]; hematopoietic progenitor cell differentiation [GO:0002244]; hepatocyte apoptotic process [GO:0097284]; hypoglossal nucleus development [GO:0021743]; in utero embryonic development [GO:0001701]; intrinsic apoptotic signaling pathway in response to hypoxia [GO:1990144]; JNK cascade [GO:0007254]; lipid metabolic process [GO:0006629]; liver development [GO:0001889]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; motor neuron apoptotic process [GO:0097049]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neurofilament cytoskeleton organization [GO:0060052]; NK T cell differentiation [GO:0001865]; outflow tract morphogenesis [GO:0003151]; p38MAPK cascade [GO:0038066]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cardiac muscle myoblast proliferation [GO:0110024]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression [GO:0010628]; positive regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902110]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta2 production [GO:0032915]; protein import into nucleus [GO:0006606]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; response to osmotic stress [GO:0006970]; temperature homeostasis [GO:0001659]; transcription initiation-coupled chromatin remodeling [GO:0045815]; vacuole organization [GO:0007033]; white fat cell differentiation [GO:0050872]
