Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
E3 ubiquitin-protein ligase SH3RF2 (EC 2.3.2.27) (Heart protein phosphatase 1-binding protein) (HEPP1) (POSH-eliminating RING protein) (Protein phosphatase 1 regulatory subunit 39) (RING finger protein 158) (RING-type E3 ubiquitin transferase SH3RF2) (SH3 domain-containing RING finger protein 2)	SH3RF2 POSH3 POSHER PPP1R39 RNF158	negative regulation of apoptotic process [GO:0043066]; negative regulation of JNK cascade [GO:0046329]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of cell migration [GO:0030335]; positive regulation of JNK cascade [GO:0046330]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]	40676695	5
Sharpin (Shank-associated RH domain-interacting protein) (Shank-interacting protein-like 1) (hSIPL1)	SHARPIN SIPL1 PSEC0216	apoptotic nuclear changes [GO:0030262]; canonical NF-kappaB signal transduction [GO:0007249]; defense response to bacterium [GO:0042742]; keratinization [GO:0031424]; mitochondrion organization [GO:0007005]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039]; regulation of CD40 signaling pathway [GO:2000348]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]	39528476	86
E3 ubiquitin-protein ligase SHPRH (EC 2.3.2.27) (EC 3.6.4.-) (RING-type E3 ubiquitin transferase SHPRH) (SNF2, histone-linker, PHD and RING finger domain-containing helicase)	SHPRH KIAA2023	DNA damage response [GO:0006974]; DNA repair [GO:0006281]; nucleosome assembly [GO:0006334]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	41990034	27
E3 ubiquitin-protein ligase SIAH1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH1) (Seven in absentia homolog 1) (Siah-1) (Siah-1a)	SIAH1 HUMSIAH	amyloid fibril formation [GO:1990000]; anatomical structure morphogenesis [GO:0009653]; apoptotic process [GO:0006915]; axon guidance [GO:0007411]; canonical Wnt signaling pathway [GO:0060070]; nervous system development [GO:0007399]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process [GO:0030163]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; spermatogenesis [GO:0007283]; ubiquitin-dependent protein catabolic process [GO:0006511]	41872127	209
Seven in absentia homolog 3 (Siah-3)	SIAH3	negative regulation of protein targeting to mitochondrion [GO:1903215]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein stability [GO:0031647]	39344659	11
NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-2) (EC 2.3.1.-) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	autophagy [GO:0006914]; cell division [GO:0051301]; cellular response to caloric restriction [GO:0061433]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to hypoxia [GO:0071456]; cellular response to oxidative stress [GO:0034599]; epigenetic regulation of gene expression [GO:0040029]; heterochromatin formation [GO:0031507]; innate immune response [GO:0045087]; lipid catabolic process [GO:0016042]; meiotic cell cycle [GO:0051321]; mitotic nuclear membrane reassembly [GO:0007084]; myelination in peripheral nervous system [GO:0022011]; negative regulation of autophagy [GO:0010507]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of oligodendrocyte progenitor proliferation [GO:0070446]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of satellite cell differentiation [GO:1902725]; negative regulation of striated muscle tissue development [GO:0045843]; negative regulation of transcription by RNA polymerase II [GO:0000122]; NLRP3 inflammasome complex assembly [GO:0044546]; peptidyl-lysine deacetylation [GO:0034983]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of cell division [GO:0051781]; positive regulation of DNA binding [GO:0043388]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of meiotic nuclear division [GO:0045836]; positive regulation of oocyte maturation [GO:1900195]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; rDNA heterochromatin formation [GO:0000183]; regulation of cell cycle [GO:0051726]; regulation of exit from mitosis [GO:0007096]; regulation of myelination [GO:0031641]; regulation of phosphorylation [GO:0042325]; response to redox state [GO:0051775]; substantia nigra development [GO:0021762]; subtelomeric heterochromatin formation [GO:0031509]; tubulin deacetylation [GO:0090042]	42228402	37
S-phase kinase-associated protein 2 (Cyclin-A/CDK2-associated protein p45) (F-box protein Skp2) (F-box/LRR-repeat protein 1) (p45skp2)	SKP2 FBXL1	cellular response to cell-matrix adhesion [GO:0071460]; defense response to virus [GO:0051607]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; innate immune response [GO:0045087]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of protein polyubiquitination [GO:1902916]; positive regulation of smooth muscle cell proliferation [GO:0048661]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	42040413	666
SMAD family member 1 (SMAD 1) (hSMAD1) (JV4-1) (Mad-related protein 1) (Mothers against decapentaplegic homolog 1) (MAD homolog 1) (Mothers against DPP homolog 1) (Transforming growth factor-beta-signaling protein 1) (BSP-1)	SMAD1 BSP1 MADH1 MADR1	anatomical structure morphogenesis [GO:0009653]; anti-Mullerian hormone receptor signaling pathway [GO:1990262]; BMP signaling pathway [GO:0030509]; bone development [GO:0060348]; cardiac conduction system development [GO:0003161]; cardiac muscle cell proliferation [GO:0060038]; cartilage development [GO:0051216]; cell differentiation [GO:0030154]; DNA-templated transcription [GO:0006351]; embryonic pattern specification [GO:0009880]; gamete generation [GO:0007276]; hindbrain development [GO:0030902]; inflammatory response [GO:0006954]; intracellular iron ion homeostasis [GO:0006879]; MAPK cascade [GO:0000165]; mesodermal cell fate commitment [GO:0001710]; midbrain development [GO:0030901]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of muscle cell differentiation [GO:0051148]; ossification [GO:0001503]; osteoblast differentiation [GO:0001649]; osteoblast fate commitment [GO:0002051]; positive regulation of cartilage development [GO:0061036]; positive regulation of dendrite development [GO:1900006]; positive regulation of gene expression [GO:0010628]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primary miRNA processing [GO:0031053]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; SMAD protein signal transduction [GO:0060395]; stem cell differentiation [GO:0048863]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]	39775116	81
SMAD family member 2 (SMAD 2) (hSMAD2) (JV18-1) (Mad-related protein 2) (hMAD-2) (Mothers against decapentaplegic homolog 2) (MAD homolog 2) (Mothers against DPP homolog 2)	SMAD2 MADH2 MADR2	activin receptor signaling pathway [GO:0032924]; anatomical structure morphogenesis [GO:0009653]; anterior/posterior pattern specification [GO:0009952]; aortic valve morphogenesis [GO:0003180]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; cell population proliferation [GO:0008283]; determination of left/right asymmetry in lateral mesoderm [GO:0003140]; DNA-templated transcription [GO:0006351]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; endocardial cushion morphogenesis [GO:0003203]; endoderm formation [GO:0001706]; gastrulation [GO:0007369]; in utero embryonic development [GO:0001701]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; mesoderm formation [GO:0001707]; negative regulation of cell differentiation [GO:0045596]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ossification [GO:0030279]; nodal signaling pathway [GO:0038092]; odontoblast differentiation [GO:0071895]; organ growth [GO:0035265]; pancreas development [GO:0031016]; paraxial mesoderm morphogenesis [GO:0048340]; pericardium development [GO:0060039]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; primary miRNA processing [GO:0031053]; pulmonary valve morphogenesis [GO:0003184]; regulation of DNA-templated transcription [GO:0006355]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; response to cholesterol [GO:0070723]; response to glucose [GO:0009749]; secondary palate development [GO:0062009]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]; trophoblast cell migration [GO:0061450]; ureteric bud development [GO:0001657]; zygotic specification of dorsal/ventral axis [GO:0007352]	42265299	237
SMAD family member 4 (SMAD 4) (hSMAD4) (Deletion target in pancreatic carcinoma 4) (Mothers against decapentaplegic homolog 4) (MAD homolog 4) (Mothers against DPP homolog 4)	SMAD4 DPC4 MADH4	activin receptor signaling pathway [GO:0032924]; adrenal gland development [GO:0030325]; anatomical structure morphogenesis [GO:0009653]; atrioventricular canal development [GO:0036302]; atrioventricular valve formation [GO:0003190]; axon guidance [GO:0007411]; BMP signaling pathway [GO:0030509]; brainstem development [GO:0003360]; branching involved in ureteric bud morphogenesis [GO:0001658]; cardiac conduction system development [GO:0003161]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cellular response to BMP stimulus [GO:0071773]; cellular response to glucose stimulus [GO:0071333]; cellular response to transforming growth factor beta stimulus [GO:0071560]; developmental growth [GO:0048589]; DNA-templated transcription [GO:0006351]; embryonic digit morphogenesis [GO:0042733]; endocardial cell differentiation [GO:0060956]; endothelial cell activation [GO:0042118]; epithelial cell migration [GO:0010631]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; ERK1 and ERK2 cascade [GO:0070371]; extrinsic apoptotic signaling pathway [GO:0097191]; female gonad morphogenesis [GO:0061040]; formation of anatomical boundary [GO:0048859]; gastrulation with mouth forming second [GO:0001702]; in utero embryonic development [GO:0001701]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular iron ion homeostasis [GO:0006879]; intracellular signal transduction [GO:0035556]; left ventricular cardiac muscle tissue morphogenesis [GO:0003220]; mesendoderm development [GO:0048382]; metanephric mesenchyme morphogenesis [GO:0072133]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cardiac myofibril assembly [GO:1905305]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nephrogenic mesenchyme morphogenesis [GO:0072134]; neural crest cell differentiation [GO:0014033]; neuron fate specification [GO:0048665]; osteoblast differentiation [GO:0001649]; outflow tract septum morphogenesis [GO:0003148]; ovarian follicle development [GO:0001541]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell proliferation involved in heart valve morphogenesis [GO:0003251]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of extracellular matrix assembly [GO:1901203]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of gene expression [GO:0010628]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of DNA-templated transcription [GO:0006355]; regulation of hair follicle development [GO:0051797]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transforming growth factor beta2 production [GO:0032909]; response to hypoxia [GO:0001666]; response to transforming growth factor beta [GO:0071559]; sebaceous gland development [GO:0048733]; secondary palate development [GO:0062009]; seminiferous tubule development [GO:0072520]; single fertilization [GO:0007338]; SMAD protein signal transduction [GO:0060395]; somite rostral/caudal axis specification [GO:0032525]; spermatogenesis [GO:0007283]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]; uterus development [GO:0060065]; ventricular septum morphogenesis [GO:0060412]	41963301	151
SMAD family member 5 (SMAD 5) (hSmad5) (JV5-1) (Mothers against decapentaplegic homolog 5) (MAD homolog 5) (Mothers against DPP homolog 5)	SMAD5 MADH5	anatomical structure morphogenesis [GO:0009653]; anti-Mullerian hormone receptor signaling pathway [GO:1990262]; BMP signaling pathway [GO:0030509]; bone development [GO:0060348]; cardiac conduction system development [GO:0003161]; cardiac muscle contraction [GO:0060048]; cartilage development [GO:0051216]; cell differentiation [GO:0030154]; embryonic pattern specification [GO:0009880]; erythrocyte differentiation [GO:0030218]; germ cell development [GO:0007281]; intracellular iron ion homeostasis [GO:0006879]; Mullerian duct regression [GO:0001880]; negative regulation of apoptotic process [GO:0043066]; negative regulation of Fas signaling pathway [GO:1902045]; negative regulation of gene expression [GO:0010629]; osteoblast differentiation [GO:0001649]; osteoblast fate commitment [GO:0002051]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; SMAD protein signal transduction [GO:0060395]; stem cell differentiation [GO:0048863]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]	40481141	16
Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A UBA80 UBCEP1	cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]	41459514	17
Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	RPS15 RIG	cytoplasmic translation [GO:0002181]; liver regeneration [GO:0097421]; osteoblast differentiation [GO:0001649]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; ribosomal small subunit export from nucleus [GO:0000056]; rRNA processing [GO:0006364]; translation [GO:0006412]	21814791	3
Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase)	MALT1 MLT	B cell activation [GO:0042113]; B-1 B cell differentiation [GO:0001923]; defense response [GO:0006952]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of apoptotic process [GO:0043066]; nuclear export [GO:0051168]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of T-helper 17 cell differentiation [GO:2000321]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; regulation of apoptotic process [GO:0042981]; regulation of T cell receptor signaling pathway [GO:0050856]; response to fungus [GO:0009620]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]	40779176	80
Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	RPL5 MSTP030	cytoplasmic translation [GO:0002181]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of translation [GO:0045727]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412]	40652043	17
RING finger protein 148	RNF148	ubiquitin-dependent protein catabolic process [GO:0006511]	38190483	2
E3 ubiquitin-protein ligase RNF167 (EC 2.3.2.27) (RING finger protein 167)	RNF167 RING105 LP2254	cellular response to leucine starvation [GO:1990253]; lysosome localization [GO:0032418]; negative regulation of cell cycle [GO:0045786]; negative regulation of TORC1 signaling [GO:1904262]; organelle localization [GO:0051640]; positive regulation of TORC1 signaling [GO:1904263]; protein K29-linked ubiquitination [GO:0035519]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; regulation of synaptic transmission, glutamatergic [GO:0051966]; ubiquitin-dependent protein catabolic process [GO:0006511]	35887194	11
E3 ubiquitin-protein ligase RNF181 (EC 2.3.2.27) (RING finger protein 181)	RNF181 HSPC238	protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]	32973333	5
E3 ubiquitin-protein ligase RNF182 (EC 2.3.2.27) (RING finger protein 182) (RING-type E3 ubiquitin transferase RNF182)	RNF182	protein ubiquitination [GO:0016567]	37249301	6
E3 ubiquitin-protein ligase RNF187 (EC 2.3.2.27) (RING domain AP1 coactivator 1) (RACO-1) (RING finger protein 187) (RING-type E3 ubiquitin transferase RNF187)	RNF187	positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]	41291066	11
E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (Huntingtin-interacting protein 2-interacting protein 3) (HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2)	RNF2 BAP1 DING HIPI3 RING1B	anterior/posterior axis specification [GO:0009948]; chromatin remodeling [GO:0006338]; epigenetic regulation of gene expression [GO:0040029]; gastrulation with mouth forming second [GO:0001702]; gene expression [GO:0010467]; germ cell development [GO:0007281]; mitotic cell cycle [GO:0000278]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein ubiquitination [GO:0016567]	40767300	68
E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)	RNF20 BRE1A	negative regulation of cell migration [GO:0030336]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein polyubiquitination [GO:0000209]; regulation of DNA-templated transcription [GO:0006355]; ubiquitin-dependent protein catabolic process [GO:0006511]	42004469	101
E3 ubiquitin-protein ligase RNF212B (EC 2.3.2.27) (RING finger protein 212B)	RNF212B C14orf164	chiasma assembly [GO:0051026]; homologous chromosome pairing at meiosis [GO:0007129]; protein ubiquitination [GO:0016567]	38865271	3
E3 ubiquitin-protein ligase RNF220 (EC 2.3.2.27) (RING finger protein 220) (RING-type E3 ubiquitin transferase RNF220)	RNF220 C1orf164	dorsal/ventral neural tube patterning [GO:0021904]; noradrenergic neuron development [GO:0003358]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]; regulation of transcription regulatory region DNA binding [GO:2000677]	41219491	24
E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25) (RING finger protein AO7)	RNF25	positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein K6-linked ubiquitination [GO:0085020]; protein ubiquitination [GO:0016567]; protein-RNA covalent cross-linking repair [GO:0160127]; rescue of stalled ribosome [GO:0072344]; ubiquitin-dependent protein catabolic process [GO:0006511]	41456063	13
E3 ubiquitin-protein ligase RNF26 (EC 2.3.2.27) (RING finger protein 26)	RNF26	endosome organization [GO:0007032]; negative regulation of defense response to virus [GO:0050687]; protein K11-linked ubiquitination [GO:0070979]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein ubiquitination [GO:0016567]; regulation of type I interferon production [GO:0032479]; ubiquitin-dependent protein catabolic process [GO:0006511]	41687462	8
E3 ubiquitin-protein ligase RNF31 (EC 2.3.2.31) (HOIL-1-interacting protein) (HOIP) (RING finger protein 31) (RING-type E3 ubiquitin transferase RNF31) (Zinc in-between-RING-finger ubiquitin-associated domain protein)	RNF31 ZIBRA	canonical NF-kappaB signal transduction [GO:0007249]; CD40 signaling pathway [GO:0023035]; defense response to bacterium [GO:0042742]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of necroptotic process [GO:0060546]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of xenophagy [GO:1904417]; protein linear polyubiquitination [GO:0097039]; protein polyubiquitination [GO:0000209]; T cell receptor signaling pathway [GO:0050852]	42254444	44
