Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123)	RNF123 KPC1 FP1477	protein maturation [GO:0051604]; protein polyubiquitination [GO:0000209]; proteolysis involved in protein catabolic process [GO:0051603]; ubiquitin-dependent protein catabolic process [GO:0006511]	41719337	1
UMP-CMP kinase 2, mitochondrial (EC 2.7.4.14) (Nucleoside-diphosphate kinase) (EC 2.7.4.6)	CMPK2	cellular response to lipopolysaccharide [GO:0071222]; dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]	42208328	19
Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (h-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1)	CGAS C6orf150 MB21D1	activation of innate immune response [GO:0002218]; cellular response to exogenous dsRNA [GO:0071360]; cGAS/STING signaling pathway [GO:0140896]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to virus [GO:0051607]; determination of adult lifespan [GO:0008340]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; innate immune response [GO:0045087]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; paracrine signaling [GO:0038001]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of cellular senescence [GO:2000774]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of type I interferon production [GO:0032481]; regulation of immunoglobulin production [GO:0002637]; regulation of T cell activation [GO:0050863]	42311657	3734
E3 ubiquitin-protein ligase RNF5 (EC 2.3.2.27) (RING finger protein 5) (Ram1 homolog) (HsRma1)	RNF5 G16 NG2 RMA1	endoplasmic reticulum mannose trimming [GO:1904380]; ERAD pathway [GO:0036503]; negative regulation of autophagy [GO:0010507]; protein catabolic process [GO:0030163]; protein destabilization [GO:0031648]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; regulation of autophagosome assembly [GO:2000785]; response to bacterium [GO:0009617]; transmembrane transport [GO:0055085]; ubiquitin-dependent protein catabolic process [GO:0006511]	36270989	2
Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	apoptotic process [GO:0006915]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to staurosporine [GO:0072734]; ceramide biosynthetic process [GO:0046513]; defense response to bacterium [GO:0042742]; execution phase of apoptosis [GO:0097194]; fibroblast apoptotic process [GO:0044346]; heart development [GO:0007507]; lymphocyte apoptotic process [GO:0070227]; neuron apoptotic process [GO:0051402]; plasma membrane repair [GO:0001778]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of plasma membrane repair [GO:1905686]; protein catabolic process [GO:0030163]; protein maturation [GO:0051604]; protein processing [GO:0016485]; proteolysis [GO:0006508]; response to UV [GO:0009411]; striated muscle cell differentiation [GO:0051146]	31251782	4
Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1) (hSAMHD1)	SAMHD1 MOP5	dATP catabolic process [GO:0046061]; defense response to virus [GO:0051607]; deoxyribonucleotide catabolic process [GO:0009264]; dGTP catabolic process [GO:0006203]; DNA damage response [GO:0006974]; DNA strand resection involved in replication fork processing [GO:0110025]; double-strand break repair via homologous recombination [GO:0000724]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; protein homotetramerization [GO:0051289]; regulation of innate immune response [GO:0045088]; somatic hypermutation of immunoglobulin genes [GO:0016446]	42306943	20
Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (hGSDMD-NTD); Gasdermin-D, C-terminal (GSDMD-CT) (hGSDMD-CTD); Gasdermin-D, p13 (Gasdermin-D, 13 kDa) (13 kDa GSDMD); Gasdermin-D, p40]	GSDMD DFNA5L GSDMDC1 FKSG10	ceramide biosynthetic process [GO:0046513]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; plasma membrane repair [GO:0001778]; pore complex assembly [GO:0046931]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; protein maturation [GO:0051604]; protein secretion [GO:0009306]; pyroptotic cell death [GO:0141201]; pyroptotic inflammatory response [GO:0070269]	42310305	786
Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	activation of innate immune response [GO:0002218]; autophagy [GO:0006914]; cellular response to glucose starvation [GO:0042149]; cellular response to interferon-beta [GO:0035458]; cellular response to ionizing radiation [GO:0071479]; defense response to virus [GO:0051607]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; monocyte differentiation [GO:0030224]; myeloid cell differentiation [GO:0030099]; negative regulation of AIM2 inflammasome complex assembly [GO:0140972]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of innate immune response [GO:0045824]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of viral genome replication [GO:0045071]; positive regulation of cytokine production [GO:0001819]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of autophagy [GO:0010506]; regulation of inflammatory response [GO:0050727]	42144282	128
Myeloid cell nuclear differentiation antigen	MNDA	activation of innate immune response [GO:0002218]; B cell receptor signaling pathway [GO:0050853]; cellular defense response [GO:0006968]; cellular response to interferon-beta [GO:0035458]; DNA damage response [GO:0006974]; negative regulation of B cell proliferation [GO:0030889]; positive regulation of apoptotic process [GO:0043065]	41887333	5
NLR family member X1 (Caterpiller protein 11.3) (CLR11.3) (Nucleotide-binding oligomerization domain protein 5) (Nucleotide-binding oligomerization domain protein 9)	NLRX1 NOD5 NOD9	innate immune response [GO:0045087]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of macrophage cytokine production [GO:0010936]; negative regulation of RIG-I signaling pathway [GO:0039536]	39707156	20
Mitochondrial antiviral-signaling protein (MAVS) (CARD adapter inducing interferon beta) (Cardif) (Interferon beta promoter stimulator protein 1) (IPS-1) (Putative NF-kappa-B-activating protein 031N) (Virus-induced-signaling adapter) (VISA)	MAVS IPS1 KIAA1271 VISA	activation of innate immune response [GO:0002218]; antiviral innate immune response [GO:0140374]; cellular response to exogenous dsRNA [GO:0071360]; cellular response to interferon-beta [GO:0035458]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to bacterium [GO:0042742]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; negative regulation of viral genome replication [GO:0045071]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of IP-10 production [GO:0071660]; positive regulation of myeloid dendritic cell cytokine production [GO:0002735]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; protein localization to mitochondrion [GO:0070585]; protein tetramerization [GO:0051262]; regulation of peroxisome organization [GO:1900063]; signal transduction [GO:0007165]; type I interferon-mediated signaling pathway [GO:0060337]	41967663	154
MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	MARK4 KIAA1860 MARKL1	cell division [GO:0051301]; cilium organization [GO:0044782]; intracellular signal transduction [GO:0035556]; microtubule bundle formation [GO:0001578]; microtubule cytoskeleton organization [GO:0000226]; nervous system development [GO:0007399]; positive regulation of cell cycle [GO:0045787]; positive regulation of cilium assembly [GO:0045724]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of programmed cell death [GO:0043068]; positive regulation of protein localization to centrosome [GO:1904781]; protein phosphorylation [GO:0006468]; regulation of centrosome cycle [GO:0046605]	41167535	7
