Protein Names	Gene Names	Gene Ontology	Supporting_PMID	Stress_Type	Paper_Count
Myeloid cell nuclear differentiation antigen	MNDA	activation of innate immune response [GO:0002218]; B cell receptor signaling pathway [GO:0050853]; cellular defense response [GO:0006968]; cellular response to interferon-beta [GO:0035458]; DNA damage response [GO:0006974]; negative regulation of B cell proliferation [GO:0030889]; positive regulation of apoptotic process [GO:0043065]	41887333.0	Genotoxic Stress	8
ATPase SWSAP1 (SWIM-type zinc finger 7-associated protein 1) (SWS1-associated protein 1) (ZSWIM7-associated protein 1) (ZSWIM7AP1)	SWSAP1 C19orf39	double-strand break repair via homologous recombination [GO:0000724]; protein stabilization [GO:0050821]	34253720.0	Genotoxic Stress	8
Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)	TAOK1 KIAA1361 MAP3K16 MARKK	central nervous system neuron development [GO:0021954]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; execution phase of apoptosis [GO:0097194]; microtubule cytoskeleton organization [GO:0000226]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of microtubule depolymerization [GO:0007026]; neuron cellular homeostasis [GO:0070050]; positive regulation of JNK cascade [GO:0046330]; positive regulation of stress-activated MAPK cascade [GO:0032874]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cytoskeleton organization [GO:0051493]; regulation of microtubule cytoskeleton organization [GO:0070507]	40003990.0	Genotoxic Stress	8
NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	NUAK1 ARK5 KIAA0537 OMPHK1	cell adhesion [GO:0007155]; DNA damage response [GO:0006974]; protein phosphorylation [GO:0006468]; regulation of cell adhesion [GO:0030155]; regulation of cell population proliferation [GO:0042127]; regulation of cellular senescence [GO:2000772]; regulation of signal transduction by p53 class mediator [GO:1901796]	41264843.0	Genotoxic Stress	8
Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (MRG15) (Protein MSL3-1) (Transcription factor-like protein MRG15)	MORF4L1 MRG15 FWP006 HSPC008 HSPC061 PP368	chromatin organization [GO:0006325]; double-strand break repair via homologous recombination [GO:0000724]; fibroblast proliferation [GO:0048144]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of double-strand break repair [GO:2000779]	41819434.0	Genotoxic Stress	8
Cell cycle checkpoint control protein RAD9B (DNA repair exonuclease rad9 homolog B) (hRAD9B)	RAD9B	cellular response to ionizing radiation [GO:0071479]; DNA repair [GO:0006281]; DNA replication checkpoint signaling [GO:0000076]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]	31898828.0	Genotoxic Stress	8
RNA-binding protein 24 (RNA-binding motif protein 24) (RNA-binding region-containing protein 6)	RBM24 RNPC6	3'-UTR-mediated mRNA destabilization [GO:0061158]; cell differentiation [GO:0030154]; DNA damage response [GO:0006974]; endocardial cushion development [GO:0003197]; mRNA destabilization [GO:0061157]; mRNA processing [GO:0006397]; mRNA stabilization [GO:0048255]; negative regulation of cytoplasmic translation [GO:2000766]; positive regulation of 3'-UTR-mediated mRNA stabilization [GO:1905870]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myotube differentiation [GO:0010831]; positive regulation of skeletal muscle fiber differentiation [GO:1902811]; positive regulation of stem cell differentiation [GO:2000738]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA stability [GO:0043488]; regulation of myotube differentiation [GO:0010830]; RNA splicing [GO:0008380]	29358667.0	Genotoxic Stress	8
Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	UBE2D3 UBC5C UBCH5C	apoptotic process [GO:0006915]; DNA repair [GO:0006281]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein targeting to mitochondrion [GO:1903955]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K11-linked ubiquitination [GO:0070979]; protein K48-linked ubiquitination [GO:0070936]; protein K6-linked ubiquitination [GO:0085020]; protein modification process [GO:0036211]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	38866770.0	Genotoxic Stress	8
CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27)	CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553	apoptotic nuclear changes [GO:0030262]; brain development [GO:0007420]; cell population proliferation [GO:0008283]; definitive erythrocyte differentiation [GO:0060318]; endoplasmic reticulum unfolded protein response [GO:0030968]; liver development [GO:0001889]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of reticulophagy [GO:0140501]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ufmylation [GO:0071569]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic cell cycle [GO:0007346]; regulation of neuron differentiation [GO:0045664]; regulation of phosphatase activity [GO:0010921]; rescue of stalled ribosome [GO:0072344]; response to endoplasmic reticulum stress [GO:0034976]; ribosome disassembly [GO:0032790]	39085114.0	Genotoxic Stress	8
WW domain-containing adapter protein with coiled-coil	WAC KIAA1844	chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of macroautophagy [GO:0016239]; positive regulation of TORC1 signaling [GO:1904263]; regulation of autophagy [GO:0010506]	41700448.0	Genotoxic Stress	8
NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	NUAK1 ARK5 KIAA0537 OMPHK1	cell adhesion [GO:0007155]; DNA damage response [GO:0006974]; protein phosphorylation [GO:0006468]; regulation of cell adhesion [GO:0030155]; regulation of cell population proliferation [GO:0042127]; regulation of cellular senescence [GO:2000772]; regulation of signal transduction by p53 class mediator [GO:1901796]	41264843.0	Genotoxic Stress	8
CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36)	MNAT1 CAP35 MAT1 RNF66	adult heart development [GO:0007512]; DNA repair [GO:0006281]; G1/S transition of mitotic cell cycle [GO:0000082]; negative regulation of apoptotic process [GO:0043066]; nucleotide-excision repair [GO:0006289]; positive regulation of smooth muscle cell proliferation [GO:0048661]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to calcium ion [GO:0051592]; transcription initiation at RNA polymerase II promoter [GO:0006367]; ventricular system development [GO:0021591]	30477538.0	Genotoxic Stress	8
Prolyl hydroxylase EGLN3 (EC 1.14.11.-) (Egl nine homolog 3) (EC 1.14.11.29) (HPH-1) (Hypoxia-inducible factor prolyl hydroxylase 3) (HIF-PH3) (HIF-prolyl hydroxylase 3) (HPH-3) (Prolyl hydroxylase domain-containing protein 3) (PHD3)	EGLN3	apoptotic process [GO:0006915]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; negative regulation of ferroptosis [GO:0110076]; protein hydroxylation [GO:0018126]; protein stabilization [GO:0050821]; regulation of neuron apoptotic process [GO:0043523]	38340438.0	Genotoxic Stress	8
Ataxin-7 (Spinocerebellar ataxia type 7 protein)	ATXN7 SCA7	microtubule cytoskeleton organization [GO:0000226]; negative regulation of microtubule depolymerization [GO:0007026]; nucleus organization [GO:0006997]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA repair [GO:0006282]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]; visual perception [GO:0007601]	27296891.0	Genotoxic Stress	8
Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein)	ASH2L ASH2L1	DNA damage response [GO:0006974]; hemopoiesis [GO:0030097]; positive regulation of cell population proliferation [GO:0008284]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]	35819198.0	Genotoxic Stress	8
CCAAT/enhancer-binding protein gamma (C/EBP gamma)	CEBPG	B cell differentiation [GO:0030183]; DNA-templated transcription [GO:0006351]; enucleate erythrocyte differentiation [GO:0043353]; immune response [GO:0006955]; integrated stress response signaling [GO:0140467]; liver development [GO:0001889]; mRNA metabolic process [GO:0016071]; natural killer cell mediated cytotoxicity [GO:0042267]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type II interferon production [GO:0032729]; regulation of transcription by RNA polymerase II [GO:0006357]	23775115.0	Genotoxic Stress	8
CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27)	CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553	apoptotic nuclear changes [GO:0030262]; brain development [GO:0007420]; cell population proliferation [GO:0008283]; definitive erythrocyte differentiation [GO:0060318]; endoplasmic reticulum unfolded protein response [GO:0030968]; liver development [GO:0001889]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of reticulophagy [GO:0140501]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ufmylation [GO:0071569]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic cell cycle [GO:0007346]; regulation of neuron differentiation [GO:0045664]; regulation of phosphatase activity [GO:0010921]; rescue of stalled ribosome [GO:0072344]; response to endoplasmic reticulum stress [GO:0034976]; ribosome disassembly [GO:0032790]	39085114.0	Genotoxic Stress	8
Cell death-inducing p53-target protein 1 (Cell death involved p53-target) (Cell death-inducing protein) (LITAF-like protein) (Lipopolysaccharide-induced tumor necrosis factor-alpha-like protein) (Transmembrane protein I1)	CDIP1 C16orf5 CDIP LITAFL	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]	38312031.0	Genotoxic Stress	8
Histone-lysine N-methyltransferase KMT5B (Lysine N-methyltransferase 5B) (Lysine-specific methyltransferase 5B) (Suppressor of variegation 4-20 homolog 1) (Su(var)4-20 homolog 1) (Suv4-20h1) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361)	KMT5B SUV420H1 CGI-85	DNA repair [GO:0006281]; methylation [GO:0032259]; muscle organ development [GO:0007517]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of isotype switching [GO:0045830]	40316196.0	Genotoxic Stress	8
RAD50-interacting protein 1 (RAD50 interactor 1) (HsRINT-1) (RINT-1)	RINT1	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; protein transport [GO:0015031]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	33531371.0	Genotoxic Stress	7
E3 ubiquitin-protein ligase TRIM39 (EC 2.3.2.27) (RING finger protein 23) (RING-type E3 ubiquitin transferase TRIM39) (Testis-abundant finger protein) (Tripartite motif-containing protein 39)	TRIM39 RNF23 TFP	apoptotic process [GO:0006915]; innate immune response [GO:0045087]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of apoptotic signaling pathway [GO:2001235]; protein stabilization [GO:0050821]; protein ubiquitination [GO:0016567]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of gene expression [GO:0010468]	34643308.0	Genotoxic Stress	7
Serine/threonine-protein kinase Nek11 (EC 2.7.11.1) (Never in mitosis A-related kinase 11) (NimA-related protein kinase 11)	NEK11	intracellular signal transduction [GO:0035556]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle phase transition [GO:1901990]	26501353.0	Genotoxic Stress	7
Nuclear factor of activated T-cells, cytoplasmic 4 (NF-ATc4) (NFATc4) (T-cell transcription factor NFAT3) (NF-AT3)	NFATC4 NFAT3	brain-derived neurotrophic factor receptor signaling pathway [GO:0031547]; branching involved in blood vessel morphogenesis [GO:0001569]; calcineurin-NFAT signaling cascade [GO:0033173]; cellular respiration [GO:0045333]; cellular response to lithium ion [GO:0071285]; cellular response to UV [GO:0034644]; dendrite morphogenesis [GO:0048813]; heart development [GO:0007507]; inflammatory response [GO:0006954]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; long-term memory [GO:0007616]; long-term synaptic potentiation [GO:0060291]; negative regulation of dendrite morphogenesis [GO:0050774]; negative regulation of miRNA transcription [GO:1902894]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of synapse maturation [GO:2000297]; negative regulation of Wnt signaling pathway [GO:0030178]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; synapse maturation [GO:0060074]; transcription by RNA polymerase II [GO:0006366]; vascular associated smooth muscle cell development [GO:0097084]	34192554.0	Genotoxic Stress	7
E3 ubiquitin-protein ligase pellino homolog 1 (Pellino-1) (EC 2.3.2.27) (Pellino-related intracellular-signaling molecule) (RING-type E3 ubiquitin transferase pellino homolog 1)	PELI1 PRISM	DNA repair [GO:0006281]; negative regulation of necroptotic process [GO:0060546]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cytokine production [GO:0001819]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of toll-like receptor 3 signaling pathway [GO:0034141]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; regulation of necroptotic process [GO:0060544]; regulation of Toll signaling pathway [GO:0008592]; response to dsRNA [GO:0043331]; response to lipopolysaccharide [GO:0032496]; T cell proliferation [GO:0042098]	41620040.0	Genotoxic Stress	7
Homologous recombination OB-fold protein	HROB C17orf53	DNA damage response [GO:0006974]; DNA synthesis involved in DNA repair [GO:0000731]; female gamete generation [GO:0007292]; interstrand cross-link repair [GO:0036297]; male gamete generation [GO:0048232]; recombinational repair [GO:0000725]	41184881.0	Genotoxic Stress	7
Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1)	FZR1 CDH1 FYR FZR KIAA1242	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; DNA repair [GO:0006281]; lens fiber cell differentiation [GO:0070306]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of cellular senescence [GO:2000773]; positive regulation of anaphase-promoting complex-dependent catabolic process [GO:1905786]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; protein K11-linked ubiquitination [GO:0070979]; regulation of meiotic cell cycle [GO:0051445]; regulation of meiotic nuclear division [GO:0040020]; regulation of mitotic cell cycle [GO:0007346]	35131382.0	Genotoxic Stress	7
Exosome complex component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2)	EXOSC10 PMSCL PMSCL2 RRP6	CUT catabolic process [GO:0071034]; DNA repair [GO:0006281]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; histone mRNA catabolic process [GO:0071044]; maturation of 5.8S rRNA [GO:0000460]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear mRNA surveillance [GO:0071028]; nuclear polyadenylation-dependent antisense transcript catabolic process [GO:0071040]; nuclear polyadenylation-dependent CUT catabolic process [GO:0071039]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent snoRNA catabolic process [GO:0071036]; nuclear polyadenylation-dependent snRNA catabolic process [GO:0071037]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; poly(A)-dependent snoRNA 3'-end processing [GO:0071051]; positive regulation of mRNA cis splicing, via spliceosome [GO:1905746]; random inactivation of X chromosome [GO:0060816]; regulation of telomerase RNA localization to Cajal body [GO:1904872]; ribosomal small subunit biogenesis [GO:0042274]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]; TRAMP-dependent tRNA surveillance pathway [GO:0071038]	37701829.0	Genotoxic Stress	7
Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)	UBQLN4 C1orf6 CIP75 UBIN	autophagy [GO:0006914]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; negative regulation of autophagosome maturation [GO:1901097]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; ubiquitin-dependent protein catabolic process [GO:0006511]	34245648.0	Genotoxic Stress	7
Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)	UBQLN4 C1orf6 CIP75 UBIN	autophagy [GO:0006914]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; negative regulation of autophagosome maturation [GO:1901097]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; ubiquitin-dependent protein catabolic process [GO:0006511]	34245648.0	Genotoxic Stress	7
WD repeat-containing protein 76	WDR76	DNA damage response [GO:0006974]; regulation of DNA damage checkpoint [GO:2000001]	39116123.0	Genotoxic Stress	7
Homologous recombination OB-fold protein	HROB C17orf53	DNA damage response [GO:0006974]; DNA synthesis involved in DNA repair [GO:0000731]; female gamete generation [GO:0007292]; interstrand cross-link repair [GO:0036297]; male gamete generation [GO:0048232]; recombinational repair [GO:0000725]	41184881.0	Genotoxic Stress	7
Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1)	FZR1 CDH1 FYR FZR KIAA1242	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; DNA repair [GO:0006281]; lens fiber cell differentiation [GO:0070306]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of cellular senescence [GO:2000773]; positive regulation of anaphase-promoting complex-dependent catabolic process [GO:1905786]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; protein K11-linked ubiquitination [GO:0070979]; regulation of meiotic cell cycle [GO:0051445]; regulation of meiotic nuclear division [GO:0040020]; regulation of mitotic cell cycle [GO:0007346]	35131382.0	Genotoxic Stress	7
F-box only protein 5 (Early mitotic inhibitor 1)	FBXO5 EMI1 FBX5	cell division [GO:0051301]; DNA damage response [GO:0006974]; microtubule polymerization [GO:0046785]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA endoreduplication [GO:0032876]; negative regulation of meiotic nuclear division [GO:0045835]; negative regulation of mitotic metaphase/anaphase transition [GO:0045841]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; oocyte maturation [GO:0001556]; positive regulation of biomineral tissue development [GO:0070169]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of mesenchymal stem cell migration [GO:1905322]; positive regulation of osteoblast differentiation [GO:0045669]; protein ubiquitination [GO:0016567]; regulation of DNA replication [GO:0006275]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic nuclear division [GO:0007088]; spindle assembly involved in female meiosis I [GO:0007057]; vesicle organization [GO:0016050]	41240879.0	Genotoxic Stress	7
Activating signal cointegrator 1 complex subunit 3 (EC 5.6.2.4) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)	ASCC3 HELIC1 RQT2	DNA alkylation repair [GO:0006307]; DNA replication [GO:0006260]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]	33139697.0	Genotoxic Stress	7
Histone-lysine N-methyltransferase KMT5C (Lysine N-methyltransferase 5C) (Lysine-specific methyltransferase 5C) (Suppressor of variegation 4-20 homolog 2) (Su(var)4-20 homolog 2) (Suv4-20h2) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase KMT5B) (EC 2.1.1.361)	KMT5C SUV420H2 PP7130	DNA repair [GO:0006281]; methylation [GO:0032259]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of isotype switching [GO:0045830]	37556368.0	Genotoxic Stress	7
Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	autosome genomic imprinting [GO:0141068]; chromosome organization [GO:0051276]; dosage compensation by inactivation of X chromosome [GO:0009048]; double-strand break repair [GO:0006302]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; nose development [GO:0043584]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; random inactivation of X chromosome [GO:0060816]	32080884.0	Genotoxic Stress	6
E3 ubiquitin-protein ligase RNF113A (EC 2.3.2.27) (Cwc24 homolog) (RING finger protein 113A) (Zinc finger protein 183)	RNF113A RNF113 ZNF183	DNA repair [GO:0006281]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of chemokine-mediated signaling pathway [GO:0070100]; protein ubiquitination [GO:0016567]; snoRNA splicing [GO:0034247]	41509214.0	Genotoxic Stress	6
SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	SNW1 SKIIP SKIP	cellular response to retinoic acid [GO:0071300]; host-mediated activation of viral transcription [GO:0043923]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of neurogenesis [GO:0050769]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of vitamin D receptor signaling pathway [GO:0070564]; regulation of retinoic acid receptor signaling pathway [GO:0048385]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of vitamin D receptor signaling pathway [GO:0070562]; retinoic acid receptor signaling pathway [GO:0048384]	21461980.0	Genotoxic Stress	6
DNA repair protein SWI5 homolog (HBV DNAPTP1-transactivated protein A) (Protein SAE3 homolog)	SWI5 C9orf119 SAE3	cellular response to ionizing radiation [GO:0071479]; double-strand break repair via homologous recombination [GO:0000724]	32204793.0	Genotoxic Stress	6
Proline-rich acidic protein 1 (Epididymis tissue protein Li 178) (Uterine-specific proline-rich acidic protein)	PRAP1 UPA UNQ608/PRO1195	cellular response to X-ray [GO:0071481]; deactivation of mitotic spindle assembly checkpoint [GO:1902426]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; negative regulation of apoptotic process [GO:0043066]; positive regulation of intestinal lipid absorption [GO:1904731]; positive regulation of phospholipid transport [GO:2001140]; positive regulation of triglyceride transport [GO:1905885]	29886035.0	Genotoxic Stress	6
Serine protease FAM111A (EC 3.4.21.-)	FAM111A KIAA1895	DNA damage response [GO:0006974]; DNA replication [GO:0006260]; negative regulation of viral genome replication [GO:0045071]; protein autoprocessing [GO:0016540]; protein-DNA covalent cross-linking repair [GO:0106300]; proteolysis [GO:0006508]; replication fork processing [GO:0031297]	40446667.0	Genotoxic Stress	6
E3 ubiquitin-protein ligase RNF113A (EC 2.3.2.27) (Cwc24 homolog) (RING finger protein 113A) (Zinc finger protein 183)	RNF113A RNF113 ZNF183	DNA repair [GO:0006281]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of chemokine-mediated signaling pathway [GO:0070100]; protein ubiquitination [GO:0016567]; snoRNA splicing [GO:0034247]	41509214.0	Genotoxic Stress	6
Zinc finger and BTB domain-containing protein 4 (KAISO-like zinc finger protein 1) (KAISO-L1)	ZBTB4 KIAA1538	DNA damage response [GO:0006974]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of DNA-templated transcription [GO:0006355]	19448668.0	Genotoxic Stress	6
