Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1	angiogenesis [GO:0001525]; behavioral response to starvation [GO:0042595]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to starvation [GO:0009267]; cellular response to tumor necrosis factor [GO:0071356]; cholesterol homeostasis [GO:0042632]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; DNA damage response [GO:0006974]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA synthesis involved in DNA repair [GO:0000731]; endoplasmic reticulum unfolded protein response [GO:0030968]; energy homeostasis [GO:0097009]; fatty acid homeostasis [GO:0055089]; heterochromatin formation [GO:0031507]; intracellular glucose homeostasis [GO:0001678]; intracellular triglyceride homeostasis [GO:0035356]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; leptin-mediated signaling pathway [GO:0033210]; macrophage differentiation [GO:0030225]; maintenance of nucleus location [GO:0051658]; muscle organ development [GO:0007517]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of apoptotic process [GO:0043066]; negative regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902424]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cell cycle [GO:0045786]; negative regulation of cellular response to testosterone stimulus [GO:2000655]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of hippo signaling [GO:0035331]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of phosphorylation [GO:0042326]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of protein acetylation [GO:1901984]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of triglyceride biosynthetic process [GO:0010868]; ovulation from ovarian follicle [GO:0001542]; peptidyl-lysine acetylation [GO:0018394]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cAMP-dependent protein kinase activity [GO:2000481]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular senescence [GO:2000774]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of macroautophagy [GO:0016239]; positive regulation of macrophage apoptotic process [GO:2000111]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; protein depropionylation [GO:0106230]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; pyrimidine dimer repair by nucleotide-excision repair [GO:0000720]; rDNA heterochromatin formation [GO:0000183]; regulation of apoptotic process [GO:0042981]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to heat [GO:1900034]; regulation of centrosome duplication [GO:0010824]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid storage [GO:0010883]; regulation of mitotic cell cycle [GO:0007346]; regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035358]; regulation of smooth muscle cell apoptotic process [GO:0034391]; regulation of transcription by glucose [GO:0046015]; response to hydrogen peroxide [GO:0042542]; response to insulin [GO:0032868]; response to leptin [GO:0044321]; response to oxidative stress [GO:0006979]; single strand break repair [GO:0000012]; spermatogenesis [GO:0007283]; stress-induced premature senescence [GO:0090400]; subtelomeric heterochromatin formation [GO:0031509]; transforming growth factor beta receptor signaling pathway [GO:0007179]; triglyceride mobilization [GO:0006642]; UV-damage excision repair [GO:0070914]; white fat cell differentiation [GO:0050872]	42011618	197
Sharpin (Shank-associated RH domain-interacting protein) (Shank-interacting protein-like 1) (hSIPL1)	SHARPIN SIPL1 PSEC0216	apoptotic nuclear changes [GO:0030262]; canonical NF-kappaB signal transduction [GO:0007249]; defense response to bacterium [GO:0042742]; keratinization [GO:0031424]; mitochondrion organization [GO:0007005]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039]; regulation of CD40 signaling pathway [GO:2000348]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]	31461795	7
E3 ubiquitin-protein ligase SH3RF3 (EC 2.3.2.27) (Plenty of SH3s 2) (SH3 domain-containing RING finger protein 3) (SH3 multiple domains protein 4)	SH3RF3 POSH2 SH3MD4	positive regulation of JNK cascade [GO:0046330]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]	32427938	3
FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)	FGD1 FGDY ZFYVE3	actin cytoskeleton organization [GO:0030036]; animal organ morphogenesis [GO:0009887]; cytoskeleton organization [GO:0007010]; filopodium assembly [GO:0046847]; regulation of cell shape [GO:0008360]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	9624130	2
SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)	SH3BP5 SAB	intracellular signal transduction [GO:0035556]; signal transduction [GO:0007165]	31546831	7
Dual specificity protein phosphatase 26 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase SKRP3) (Low-molecular-mass dual-specificity phosphatase 4) (DSP-4) (LDP-4) (Mitogen-activated protein kinase phosphatase 8) (MAP kinase phosphatase 8) (MKP-8) (Novel amplified gene in thyroid anaplastic cancer)	DUSP26 DUSP24 LDP4 MKP8 NATA1 SKRP3	negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell adhesion [GO:0045785]; protein dephosphorylation [GO:0006470]	39222869	14
Dual specificity protein phosphatase 22 (EC 3.1.3.16) (EC 3.1.3.48) (JNK pathway associated phosphatase) (JKAP) (JNK-stimulatory phosphatase-1) (JSP-1) (Low molecular weight dual specificity phosphatase 2) (LMW-DSP2) (Mitogen-activated protein kinase phosphatase x) (MAP kinase phosphatase x) (MKP-x)	DUSP22 JSP1 LMWDSP2 MKPX	cellular response to epidermal growth factor stimulus [GO:0071364]; immune system process [GO:0002376]; intracellular signal transduction [GO:0035556]; negative regulation of cell migration [GO:0030336]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell mediated immunity [GO:0002710]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of JNK cascade [GO:0046330]; regulation of cell population proliferation [GO:0042127]; transforming growth factor beta receptor signaling pathway [GO:0007179]	41950821	8
N-formyl peptide receptor 1 (N-formylpeptide chemoattractant receptor) (fMet-Leu-Phe receptor) (fMLP receptor)	FPR1	adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; chemotaxis [GO:0006935]; complement receptor mediated signaling pathway [GO:0002430]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; nitric oxide mediated signal transduction [GO:0007263]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; signal transduction [GO:0007165]	40987405	11
Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK	intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; neuron projection morphogenesis [GO:0048812]; positive regulation of ARF protein signal transduction [GO:0032014]; positive regulation of cell migration [GO:0030335]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of focal adhesion disassembly [GO:0120183]; positive regulation of hippo signaling [GO:0035332]; positive regulation of keratinocyte migration [GO:0051549]; protein phosphorylation [GO:0006468]; regulation of JNK cascade [GO:0046328]; regulation of MAPK cascade [GO:0043408]	38084701	40
Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)	TAOK1 KIAA1361 MAP3K16 MARKK	central nervous system neuron development [GO:0021954]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; execution phase of apoptosis [GO:0097194]; microtubule cytoskeleton organization [GO:0000226]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of microtubule depolymerization [GO:0007026]; neuron cellular homeostasis [GO:0070050]; positive regulation of JNK cascade [GO:0046330]; positive regulation of stress-activated MAPK cascade [GO:0032874]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cytoskeleton organization [GO:0051493]; regulation of microtubule cytoskeleton organization [GO:0070507]	39964965	5
TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (NF-kappa-B-activating protein 1) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	TAB3 MAP3K7IP3	defense response to bacterium [GO:0042742]; negative regulation of autophagy [GO:0010507]; non-canonical NF-kappaB signal transduction [GO:0038061]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]	27009840	9
Dapper homolog 1 (hDPR1) (Dapper antagonist of catenin 1) (Hepatocellular carcinoma novel gene 3 protein)	DACT1 DPR1 HNG3	embryonic hindgut morphogenesis [GO:0048619]; negative regulation of beta-catenin-TCF complex assembly [GO:1904864]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of JNK cascade [GO:0046329]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of Wnt signaling pathway [GO:0030178]; neural tube development [GO:0021915]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of protein stability [GO:0031647]; regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000095]; Wnt signaling pathway [GO:0016055]	30684546	3
Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	DAXX BING2 DAP6	androgen receptor signaling pathway [GO:0030521]; cellular response to cadmium ion [GO:0071276]; cellular response to copper ion [GO:0071280]; cellular response to diamide [GO:0072738]; cellular response to heat [GO:0034605]; cellular response to sodium arsenite [GO:1903936]; cellular response to unfolded protein [GO:0034620]; chromatin remodeling [GO:0006338]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; JNK cascade [GO:0007254]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; neuron intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0036480]; nucleosome assembly [GO:0006334]; regulation of apoptotic process [GO:0042981]; regulation of DNA-templated transcription [GO:0006355]; regulation of gene expression [GO:0010468]; regulation of protein ubiquitination [GO:0031396]	37871853	41
Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA)	PPM1A PPPM1A	cellular response to transforming growth factor beta stimulus [GO:0071560]; N-terminal protein myristoylation [GO:0006499]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of protein export from nucleus [GO:0046827]; protein dephosphorylation [GO:0006470]; protein export from nucleus [GO:0006611]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of cell cycle [GO:0051726]	25196308	8
D-aspartate oxidase (DASOX) (DASPO) (DDO) (EC 1.4.3.1)	DDO	aspartate metabolic process [GO:0006531]; D-amino acid catabolic process [GO:0019478]; grooming behavior [GO:0007625]; hormone metabolic process [GO:0042445]; insemination [GO:0007320]; L-amino acid catabolic process [GO:0170035]; L-aspartate catabolic process [GO:0006533]; nervous system process [GO:0050877]; proteinogenic amino acid catabolic process [GO:0170040]; regulation of cell communication [GO:0010646]	30822420	2
Docking protein 3 (Downstream of tyrosine kinase 3)	DOK3	cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; Ras protein signal transduction [GO:0007265]	34820053	3
Dual specificity protein phosphatase 2 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PAC-1)	DUSP2 PAC1	endoderm formation [GO:0001706]; negative regulation of MAPK cascade [GO:0043409]; protein dephosphorylation [GO:0006470]; signal transduction [GO:0007165]	40302325	16
Cell adhesion molecule DSCAM (CHD2) (Down syndrome cell adhesion molecule)	DSCAM	axon guidance [GO:0007411]; camera-type eye photoreceptor cell differentiation [GO:0060219]; cell adhesion [GO:0007155]; central nervous system development [GO:0007417]; dendrite morphogenesis [GO:0048813]; dendrite self-avoidance [GO:0070593]; dendritic spine development [GO:0060996]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; locomotory behavior [GO:0007626]; negative regulation of cell adhesion [GO:0007162]; nervous system development [GO:0007399]; positive regulation of axon extension involved in axon guidance [GO:0048842]; positive regulation of phosphorylation [GO:0042327]; post-embryonic retina morphogenesis in camera-type eye [GO:0060060]; retina layer formation [GO:0010842]; social behavior [GO:0035176]; synapse assembly [GO:0007416]; synaptic transmission, glutamatergic [GO:0035249]	23223444	3
