Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	UBQLN1 DA41 PLIC1	aggrephagy [GO:0035973]; autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; cellular response to hypoxia [GO:0071456]; ERAD pathway [GO:0036503]; macroautophagy [GO:0016236]; negative regulation of store-operated calcium channel activity [GO:1901340]; negative regulation of toll-like receptor 3 signaling pathway [GO:0034140]; positive regulation of ERAD pathway [GO:1904294]; positive regulation of protein ubiquitination [GO:0031398]; regulation of macroautophagy [GO:0016241]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; regulation of protein ubiquitination [GO:0031396]; response to endoplasmic reticulum stress [GO:0034976]; ubiquitin-dependent protein catabolic process [GO:0006511]	41942632	5
Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)	UBE2QL1	protein polyubiquitination [GO:0000209]	31679434	5
Thioredoxin-interacting protein (Thioredoxin-binding protein 2) (Vitamin D3 up-regulated protein 1)	TXNIP VDUP1	cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; cellular response to tumor cell [GO:0071228]; inflammatory response [GO:0006954]; keratinocyte differentiation [GO:0030216]; negative regulation of cell division [GO:0051782]; negative regulation of transcription by RNA polymerase II [GO:0000122]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of apoptotic process [GO:0043065]; protein import into nucleus [GO:0006606]; protein transport [GO:0015031]; regulation of cell population proliferation [GO:0042127]; response to calcium ion [GO:0051592]; response to estradiol [GO:0032355]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; response to oxidative stress [GO:0006979]; response to progesterone [GO:0032570]; response to xenobiotic stimulus [GO:0009410]	42140384	160
TELO2-interacting protein 1 homolog (Protein SMG10)	TTI1 KIAA0406 SMG10	positive regulation of DNA damage checkpoint [GO:2000003]; protein stabilization [GO:0050821]; regulation of TOR signaling [GO:0032006]	42275414	13
Tuberin (Tuberous sclerosis 2 protein)	TSC2 TSC4	anoikis [GO:0043276]; cellular response to starvation [GO:0009267]; endocytosis [GO:0006897]; heart development [GO:0007507]; intracellular protein localization [GO:0008104]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of mitophagy [GO:1901525]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of TOR signaling [GO:0032007]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of Wnt signaling pathway [GO:0030178]; neural tube closure [GO:0001843]; positive chemotaxis [GO:0050918]; positive regulation of macroautophagy [GO:0016239]; protein import into nucleus [GO:0006606]; regulation of cell cycle [GO:0051726]; regulation of endocytosis [GO:0030100]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of small GTPase mediated signal transduction [GO:0051056]; vesicle-mediated transport [GO:0016192]	42310739	1233
Hamartin (Tuberous sclerosis 1 protein)	TSC1 KIAA0243 TSC	activation of GTPase activity [GO:0090630]; adaptive immune response [GO:0002250]; adult locomotory behavior [GO:0008344]; associative learning [GO:0008306]; cardiac muscle cell differentiation [GO:0055007]; cell population proliferation [GO:0008283]; cell projection organization [GO:0030030]; cell-matrix adhesion [GO:0007160]; cellular response to decreased oxygen levels [GO:0036294]; cellular response to starvation [GO:0009267]; cerebral cortex development [GO:0021987]; D-glucose import [GO:0046323]; hippocampus development [GO:0021766]; kidney development [GO:0001822]; memory T cell differentiation [GO:0043379]; myelination [GO:0042552]; negative regulation of ATP-dependent activity [GO:0032780]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell size [GO:0045792]; negative regulation of macroautophagy [GO:0016242]; negative regulation of TOR signaling [GO:0032007]; negative regulation of TORC1 signaling [GO:1904262]; neural tube closure [GO:0001843]; positive regulation of focal adhesion assembly [GO:0051894]; potassium ion transport [GO:0006813]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of cell-matrix adhesion [GO:0001952]; regulation of stress fiber assembly [GO:0051492]; response to insulin [GO:0032868]; synapse organization [GO:0050808]	42286631	1040
Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	autophagy [GO:0006914]; B cell lineage commitment [GO:0002326]; bone marrow development [GO:0048539]; cardiac muscle cell apoptotic process [GO:0010659]; cardiac septum morphogenesis [GO:0060411]; cellular response to actinomycin D [GO:0072717]; cellular response to gamma radiation [GO:0071480]; cellular response to glucose starvation [GO:0042149]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to UV [GO:0034644]; cellular response to UV-C [GO:0071494]; cellular response to xenobiotic stimulus [GO:0071466]; cellular senescence [GO:0090398]; cerebellum development [GO:0021549]; chromosome organization [GO:0051276]; circadian behavior [GO:0048512]; determination of adult lifespan [GO:0008340]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; double-strand break repair [GO:0006302]; embryonic organ development [GO:0048568]; entrainment of circadian clock by photoperiod [GO:0043153]; ER overload response [GO:0006983]; fibroblast proliferation [GO:0048144]; gastrulation [GO:0007369]; glial cell proliferation [GO:0014009]; glucose catabolic process to lactate via pyruvate [GO:0019661]; hematopoietic progenitor cell differentiation [GO:0002244]; hematopoietic stem cell differentiation [GO:0060218]; in utero embryonic development [GO:0001701]; intracellular protein localization [GO:0008104]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to hypoxia [GO:1990144]; mitochondrial DNA repair [GO:0043504]; mitophagy [GO:0000423]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; mRNA transcription [GO:0009299]; multicellular organism growth [GO:0035264]; necroptotic process [GO:0070266]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA replication [GO:0008156]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of G1 to G0 transition [GO:1903451]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of glucose catabolic process to lactate via pyruvate [GO:1904024]; negative regulation of helicase activity [GO:0051097]; negative regulation of miRNA processing [GO:1903799]; negative regulation of mitophagy [GO:1901525]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of pentose-phosphate shunt [GO:1905856]; negative regulation of proteolysis [GO:0045861]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuroblast proliferation [GO:0007405]; neuron apoptotic process [GO:0051402]; nucleotide-excision repair [GO:0006289]; oligodendrocyte apoptotic process [GO:0097252]; oxidative stress-induced premature senescence [GO:0090403]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cellular senescence [GO:2000774]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of programmed necrotic cell death [GO:0062100]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; positive regulation of thymocyte apoptotic process [GO:0070245]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein import into nucleus [GO:0006606]; protein stabilization [GO:0050821]; protein tetramerization [GO:0051262]; protein-containing complex assembly [GO:0065003]; Ras protein signal transduction [GO:0007265]; reactive oxygen species metabolic process [GO:0072593]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell cycle G2/M phase transition [GO:1902749]; regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043516]; regulation of DNA-templated transcription [GO:0006355]; regulation of fibroblast apoptotic process [GO:2000269]; regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902253]; regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902108]; regulation of tissue remodeling [GO:0034103]; regulation of transcription by RNA polymerase II [GO:0006357]; release of cytochrome c from mitochondria [GO:0001836]; replicative senescence [GO:0090399]; response to antibiotic [GO:0046677]; response to gamma radiation [GO:0010332]; response to ischemia [GO:0002931]; response to salt stress [GO:0009651]; response to X-ray [GO:0010165]; rRNA transcription [GO:0009303]; signal transduction by p53 class mediator [GO:0072331]; somitogenesis [GO:0001756]; stem cell proliferation [GO:0072089]; T cell differentiation in thymus [GO:0033077]; T cell lineage commitment [GO:0002360]; T cell proliferation involved in immune response [GO:0002309]; thymocyte apoptotic process [GO:0070242]; transcription initiation-coupled chromatin remodeling [GO:0045815]; transforming growth factor beta receptor signaling pathway [GO:0007179]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; type II interferon-mediated signaling pathway [GO:0060333]; viral process [GO:0016032]	42161669	830
Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)	TIGAR C12orf5	cardiac muscle cell apoptotic process [GO:0010659]; cellular response to cobalt ion [GO:0071279]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; fructose 2,6-bisphosphate metabolic process [GO:0006003]; glucose catabolic process to lactate via pyruvate [GO:0019661]; glycolytic process [GO:0006096]; intestinal epithelial cell development [GO:0060576]; mitophagy [GO:0000423]; negative regulation of glucose catabolic process to lactate via pyruvate [GO:1904024]; negative regulation of glycolytic process [GO:0045820]; negative regulation of mitophagy [GO:1901525]; negative regulation of programmed cell death [GO:0043069]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of DNA repair [GO:0045739]; positive regulation of hexokinase activity [GO:1903301]; positive regulation of pentose-phosphate shunt [GO:1905857]; reactive oxygen species metabolic process [GO:0072593]; regulation of pentose-phosphate shunt [GO:0043456]; regulation of response to DNA damage checkpoint signaling [GO:1902153]; response to gamma radiation [GO:0010332]; response to ischemia [GO:0002931]; response to xenobiotic stimulus [GO:0009410]	38494143	42
Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35)	TFEB BHLHE35	adaptive immune response [GO:0002250]; antibacterial innate immune response [GO:0140367]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; cellular response to starvation [GO:0009267]; defense response to Gram-negative bacterium [GO:0050829]; embryonic placenta development [GO:0001892]; humoral immune response [GO:0006959]; lysosome localization [GO:0032418]; lysosome organization [GO:0007040]; positive regulation of autophagy [GO:0010508]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of lysosome organization [GO:1905671]; regulation of transcription by RNA polymerase II [GO:0006357]	42299666	442
Transcription factor E3 (Class E basic helix-loop-helix protein 33) (bHLHe33)	TFE3 BHLHE33	adaptive immune response [GO:0002250]; humoral immune response [GO:0006959]; lysosome organization [GO:0007040]; negative regulation of cold-induced thermogenesis [GO:0120163]; positive regulation of brown fat cell differentiation [GO:0090336]; positive regulation of cell adhesion [GO:0045785]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of osteoclast differentiation [GO:0045670]; regulation of transcription by RNA polymerase II [GO:0006357]	42157427	160
Telomere length regulation protein TEL2 homolog (Protein clk-2 homolog) (hCLK2)	TELO2 KIAA0683	de novo' cotranslational protein folding [GO:0051083]; positive regulation of DNA damage checkpoint [GO:2000003]; protein stabilization [GO:0050821]	40653822	12
Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	TBK1 NAK	activation of innate immune response [GO:0002218]; antiviral innate immune response [GO:0140374]; canonical NF-kappaB signal transduction [GO:0007249]; cGAS/STING signaling pathway [GO:0140896]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; defense response to Gram-positive bacterium [GO:0050830]; defense response to virus [GO:0051607]; dendritic cell proliferation [GO:0044565]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; macroautophagy [GO:0016236]; negative regulation of gene expression [GO:0010629]; negative regulation of TORC1 signaling [GO:1904262]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of autophagy [GO:0010508]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of TORC2 signaling [GO:1904515]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; positive regulation of xenophagy [GO:1904417]; protein phosphorylation [GO:0006468]; regulation of type I interferon production [GO:0032479]; response to virus [GO:0009615]; T follicular helper cell differentiation [GO:0061470]; toll-like receptor 4 signaling pathway [GO:0034142]; type I interferon-mediated signaling pathway [GO:0060337]	42100877	71
Proline-rich protein 14	PRR14	muscle organ development [GO:0007517]	37325059	4
Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta)	PRKCH PKCL PRKCL	cell differentiation [GO:0030154]; intracellular signal transduction [GO:0035556]; negative regulation of glial cell apoptotic process [GO:0034351]; phospholipase C/protein kinase C signal transduction [GO:0141212]; positive regulation of B cell receptor signaling pathway [GO:0050861]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein phosphorylation [GO:0006468]; regulation of bicellular tight junction assembly [GO:2000810]; signal transduction [GO:0007165]	35271849	4
5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p)	PRKAG2	ATP biosynthetic process [GO:0006754]; cellular response to glucose starvation [GO:0042149]; cellular response to nutrient levels [GO:0031669]; fatty acid biosynthetic process [GO:0006633]; glycogen metabolic process [GO:0005977]; intracellular signal transduction [GO:0035556]; positive regulation of gluconeogenesis [GO:0045722]; regulation of carbon utilization [GO:0043609]; regulation of cell cycle [GO:0051726]; regulation of D-glucose import [GO:0046324]; regulation of fatty acid metabolic process [GO:0019217]; regulation of fatty acid oxidation [GO:0046320]; regulation of glycolytic process [GO:0006110]; sterol biosynthetic process [GO:0016126]	41964958	61
5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	autophagy [GO:0006914]; cellular response to calcium ion [GO:0071277]; cellular response to glucose starvation [GO:0042149]; cellular response to glucose stimulus [GO:0071333]; cellular response to nutrient levels [GO:0031669]; cellular response to oxidative stress [GO:0034599]; cellular response to prostaglandin E stimulus [GO:0071380]; cellular response to xenobiotic stimulus [GO:0071466]; cholesterol biosynthetic process [GO:0006695]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; fatty acid homeostasis [GO:0055089]; glucose homeostasis [GO:0042593]; lipid biosynthetic process [GO:0008610]; lipid droplet disassembly [GO:1905691]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; negative regulation of hepatocyte apoptotic process [GO:1903944]; negative regulation of TOR signaling [GO:0032007]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of tubulin deacetylation [GO:1904428]; positive regulation of autophagy [GO:0010508]; positive regulation of glycolytic process [GO:0045821]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein localization [GO:1903829]; protein localization to lipid droplet [GO:1990044]; regulation of circadian rhythm [GO:0042752]; regulation of macroautophagy [GO:0016241]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of stress granule assembly [GO:0062028]; response to muscle activity [GO:0014850]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]	42142783	75
Repressor of RNA polymerase III transcription MAF1 homolog	MAF1	negative regulation of transcription by RNA polymerase I [GO:0016479]; negative regulation of transcription by RNA polymerase III [GO:0016480]	36402285	13
Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)	LRRK2 PARK8	autophagy [GO:0006914]; calcium-mediated signaling [GO:0019722]; canonical Wnt signaling pathway [GO:0060070]; cellular response to curcumin [GO:1904644]; cellular response to dopamine [GO:1903351]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive oxygen species [GO:0034614]; cellular response to starvation [GO:0009267]; determination of adult lifespan [GO:0008340]; endocytosis [GO:0006897]; endoplasmic reticulum organization [GO:0007029]; excitatory postsynaptic potential [GO:0060079]; exploration behavior [GO:0035640]; Golgi organization [GO:0007030]; GTP metabolic process [GO:0046039]; intracellular distribution of mitochondria [GO:0048312]; intracellular protein localization [GO:0008104]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; locomotory exploration behavior [GO:0035641]; lysosome organization [GO:0007040]; MAPK cascade [GO:0000165]; mitochondrion localization [GO:0051646]; mitochondrion organization [GO:0007005]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of GTPase activity [GO:0034260]; negative regulation of late endosome to lysosome transport [GO:1902823]; negative regulation of macroautophagy [GO:0016242]; negative regulation of motile cilium assembly [GO:1905504]; negative regulation of neuron projection development [GO:0010977]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein processing [GO:0010955]; negative regulation of protein processing involved in protein targeting to mitochondrion [GO:1903217]; negative regulation of protein targeting to mitochondrion [GO:1903215]; neuromuscular junction development [GO:0007528]; neuron projection arborization [GO:0140058]; neuron projection morphogenesis [GO:0048812]; olfactory bulb development [GO:0021772]; positive regulation of autophagy [GO:0010508]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of dopamine receptor signaling pathway [GO:0060161]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of programmed cell death [GO:0043068]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein autoubiquitination [GO:1902499]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of synaptic vesicle endocytosis [GO:1900244]; positive regulation of tumor necrosis factor production [GO:0032760]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to mitochondrion [GO:0070585]; protein phosphorylation [GO:0006468]; regulation of autophagy [GO:0010506]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; regulation of cAMP/PKA signal transduction [GO:0141161]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell projection organization [GO:0031344]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of dopamine receptor signaling pathway [GO:0060159]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of kidney size [GO:0035564]; regulation of locomotion [GO:0040012]; regulation of lysosomal lumen pH [GO:0035751]; regulation of membrane potential [GO:0042391]; regulation of mitochondrial depolarization [GO:0051900]; regulation of mitochondrial fission [GO:0090140]; regulation of neuroblast proliferation [GO:1902692]; regulation of neuron maturation [GO:0014041]; regulation of protein stability [GO:0031647]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of retrograde transport, endosome to Golgi [GO:1905279]; regulation of SNARE complex assembly [GO:0035542]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of synaptic vesicle transport [GO:1902803]; response to oxidative stress [GO:0006979]; Rho protein signal transduction [GO:0007266]; spermatogenesis [GO:0007283]; striatum development [GO:0021756]; tangential migration from the subventricular zone to the olfactory bulb [GO:0022028]; Wnt signalosome assembly [GO:1904887]	40603644	46
Phosphatidate phosphatase LPIN1 (EC 3.1.3.4) (Lipin-1)	LPIN1 KIAA0188	animal organ regeneration [GO:0031100]; cellular response to insulin stimulus [GO:0032869]; fatty acid catabolic process [GO:0009062]; mitotic nuclear membrane disassembly [GO:0007077]; negative regulation of myelination [GO:0031642]; negative regulation of phosphatidic acid biosynthetic process [GO:1905694]; phosphatidic acid metabolic process [GO:0046473]; phosphatidylethanolamine metabolic process [GO:0046337]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of transcription by RNA polymerase II [GO:0045944]; triglyceride biosynthetic process [GO:0019432]; triglyceride mobilization [GO:0006642]	20101248	4
Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (EC 3.1.1.23) (Retinyl ester hydrolase) (REH)	LIPE	cholesterol metabolic process [GO:0008203]; diacylglycerol catabolic process [GO:0046340]; ether lipid metabolic process [GO:0046485]; lipid catabolic process [GO:0016042]; protein phosphorylation [GO:0006468]; triglyceride catabolic process [GO:0019433]	37852324	8
La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	cell population proliferation [GO:0008283]; cellular response to rapamycin [GO:0072752]; mRNA stabilization [GO:0048255]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; positive regulation of macroautophagy [GO:0016239]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; post-transcriptional regulation of gene expression [GO:0010608]; response to amino acid starvation [GO:1990928]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; translational initiation [GO:0006413]	42284331	17
Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)	LAMTOR5 HBXIP XIP	cellular response to amino acid stimulus [GO:0071230]; negative regulation of apoptotic process [GO:0043066]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of TOR signaling [GO:0032008]; positive regulation of TORC1 signaling [GO:1904263]; protein localization to lysosome [GO:0061462]; regulation of cell size [GO:0008361]; response to virus [GO:0009615]; TORC1 signaling [GO:0038202]; viral genome replication [GO:0019079]	38942954	4
Ragulator complex protein LAMTOR2 (Endosomal adaptor protein p14) (Late endosomal/lysosomal Mp1-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 2) (Mitogen-activated protein-binding protein-interacting protein) (MAPBP-interacting protein) (Roadblock domain-containing protein 3)	LAMTOR2 MAPBPIP ROBLD3 HSPC003	cellular response to amino acid stimulus [GO:0071230]; fibroblast migration [GO:0010761]; intracellular protein localization [GO:0008104]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of TOR signaling [GO:0032008]; positive regulation of TORC1 signaling [GO:1904263]; protein localization to cell junction [GO:1902414]; regulation of cell growth [GO:0001558]; regulation of cell-substrate junction organization [GO:0150116]; TORC1 signaling [GO:0038202]	37626304	5
Kinesin light chain 1 (KLC 1)	KLC1 KLC KNS2	cell adhesion [GO:0007155]; microtubule-based movement [GO:0007018]; stress granule disassembly [GO:0035617]	38300173	2
Jumonji domain-containing protein 1C (EC 1.14.11.-) (Thyroid receptor-interacting protein 8) (TR-interacting protein 8) (TRIP-8)	JMJD1C JHDM2C KDM3C KIAA1380 TRIP8	blood coagulation [GO:0007596]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]	32034158	3
Iron-sulfur cluster assembly enzyme ISCU (NifU-like N-terminal domain-containing protein) (NifU-like protein)	ISCU NIFUN	[2Fe-2S] cluster assembly [GO:0044571]; [4Fe-4S] cluster assembly [GO:0044572]; intracellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]; negative regulation of iron ion import across plasma membrane [GO:1904439]; positive regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902958]	39477289	29
Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	activation of innate immune response [GO:0002218]; autophagy [GO:0006914]; cellular response to glucose starvation [GO:0042149]; cellular response to interferon-beta [GO:0035458]; cellular response to ionizing radiation [GO:0071479]; defense response to virus [GO:0051607]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; monocyte differentiation [GO:0030224]; myeloid cell differentiation [GO:0030099]; negative regulation of AIM2 inflammasome complex assembly [GO:0140972]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of innate immune response [GO:0045824]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of viral genome replication [GO:0045071]; positive regulation of cytokine production [GO:0001819]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of autophagy [GO:0010506]; regulation of inflammatory response [GO:0050727]	36270606	7
Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	apoptotic process [GO:0006915]; central nervous system development [GO:0007417]; establishment of mitotic spindle orientation [GO:0000132]; Golgi organization [GO:0007030]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; neurogenesis [GO:0022008]; positive regulation of aggrephagy [GO:1905337]; positive regulation of apoptotic process [GO:0043065]; positive regulation of CAMKK-AMPK signaling cascade [GO:1905291]; positive regulation of cilium assembly [GO:0045724]; positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0031587]; positive regulation of lipophagy [GO:1904504]; positive regulation of mitophagy [GO:1901526]; protein destabilization [GO:0031648]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; synaptic vesicle transport [GO:0048489]; vesicle transport along microtubule [GO:0047496]; vocal learning [GO:0042297]	40392702	59
