Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	CHEK1 CHK1	apoptotic process [GO:0006915]; apoptotic process involved in development [GO:1902742]; cellular response to mechanical stimulus [GO:0071260]; chromatin remodeling [GO:0006338]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; G2/M transition of mitotic cell cycle [GO:0000086]; inner cell mass cell proliferation [GO:0001833]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of G0 to G1 transition [GO:0070317]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of mitotic nuclear division [GO:0045839]; nucleus organization [GO:0006997]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cell cycle [GO:0045787]; protein phosphorylation [GO:0006468]; regulation of cell population proliferation [GO:0042127]; regulation of double-strand break repair via homologous recombination [GO:0010569]; regulation of mitotic centrosome separation [GO:0046602]; regulation of signal transduction by p53 class mediator [GO:1901796]; replicative senescence [GO:0090399]; signal transduction in response to DNA damage [GO:0042770]
Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK-1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	CHUK IKKA TCF16	anatomical structure morphogenesis [GO:0009653]; autophagy [GO:0006914]; canonical NF-kappaB signal transduction [GO:0007249]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; immune response [GO:0006955]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of autophagy [GO:0010507]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; non-canonical NF-kappaB signal transduction [GO:0038061]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to acetate [GO:0010034]; response to amino acid [GO:0043200]; response to cholecystokinin [GO:0061847]; response to hydroperoxide [GO:0033194]; response to toxic substance [GO:0009636]; response to virus [GO:0009615]; response to xenobiotic stimulus [GO:0009410]; skeletal muscle contraction [GO:0003009]; striated muscle cell differentiation [GO:0051146]; toll-like receptor 4 signaling pathway [GO:0034142]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain) (SP-40,40 beta-chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) (SP-40,40 alpha-chain)]	CLU APOJ CLI KUB1 AAG4	amyloid-beta clearance [GO:0097242]; cell morphogenesis [GO:0000902]; central nervous system myelin maintenance [GO:0032286]; chaperone-mediated protein complex assembly [GO:0051131]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; immune complex clearance [GO:0002434]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway [GO:0097193]; lipid metabolic process [GO:0006629]; microglial cell activation [GO:0001774]; microglial cell proliferation [GO:0061518]; negative regulation of activation of membrane attack complex [GO:0001971]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of complement activation [GO:0045916]; negative regulation of complement-dependent cytotoxicity [GO:1903660]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; negative regulation of response to endoplasmic reticulum stress [GO:1903573]; positive regulation of amyloid fibril formation [GO:1905908]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of apoptotic process [GO:0043065]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of neurofibrillary tangle assembly [GO:1902998]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein folding [GO:0006457]; protein import [GO:0017038]; protein stabilization [GO:0050821]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of amyloid-beta clearance [GO:1900221]; regulation of apoptotic process [GO:0042981]; regulation of cell population proliferation [GO:0042127]; regulation of neuronal signal transduction [GO:1902847]; release of cytochrome c from mitochondria [GO:0001836]; response to misfolded protein [GO:0051788]; response to virus [GO:0009615]; reverse cholesterol transport [GO:0043691]
Death domain-containing protein CRADD (Caspase and RIP adapter with death domain) (RIP-associated protein with a death domain)	CRADD RAIDD	apoptotic signaling pathway [GO:0097190]; cellular response to mechanical stimulus [GO:0071260]; DNA damage response [GO:0006974]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]
Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1 CK2A1	apoptotic process [GO:0006915]; DNA damage response [GO:0006974]; double-strand break repair [GO:0006302]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; negative regulation of translation [GO:0017148]; positive regulation of aggrephagy [GO:1905337]; positive regulation of cell growth [GO:0030307]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of Wnt signaling pathway [GO:0030177]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of chromosome separation [GO:1905818]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; symbiont-mediated disruption of host cell PML body [GO:0075342]; Wnt signaling pathway [GO:0016055]
Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	DAPK3 ZIPK	apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; cellular response to type II interferon [GO:0071346]; chromatin organization [GO:0006325]; intracellular signal transduction [GO:0035556]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell migration [GO:0030335]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of apoptotic process [GO:0042981]; regulation of autophagy [GO:0010506]; regulation of cell motility [GO:2000145]; regulation of cell shape [GO:0008360]; regulation of DNA-templated transcription [GO:0006355]; regulation of focal adhesion assembly [GO:0051893]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic nuclear division [GO:0007088]; regulation of myosin II filament organization [GO:0043519]; regulation of smooth muscle contraction [GO:0006940]
DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153)	DDIT3 CHOP CHOP10 GADD153	anterior/posterior axis specification [GO:0009948]; artery development [GO:0060840]; ATF6-mediated unfolded protein response [GO:0036500]; blood vessel maturation [GO:0001955]; calcium ion import [GO:0070509]; cell redox homeostasis [GO:0045454]; diaphragm contraction [GO:0002086]; DNA damage response [GO:0006974]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; establishment of protein localization to mitochondrion [GO:0072655]; gene expression [GO:0010467]; HRI-mediated signaling [GO:0140468]; integrated stress response signaling [GO:0140467]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; intrinsic apoptotic signaling pathway in response to nitrosative stress [GO:1990442]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of determination of dorsal identity [GO:2000016]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-4 production [GO:0032713]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of autophagy [GO:0010506]; regulation of cell cycle [GO:0051726]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; release of sequestered calcium ion into cytosol [GO:0051209]; response to caloric restriction [GO:0061771]; response to endoplasmic reticulum stress [GO:0034976]; response to platelet-derived growth factor [GO:0036119]; response to starvation [GO:0042594]; response to unfolded protein [GO:0006986]; response to wounding [GO:0009611]; sensory perception of sound [GO:0007605]; vascular associated smooth muscle cell migration [GO:1904738]; vascular associated smooth muscle cell proliferation [GO:1990874]; Wnt signaling pathway [GO:0016055]
ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	cell differentiation [GO:0030154]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; cellular response to virus [GO:0098586]; chromosome segregation [GO:0007059]; cytoplasmic pattern recognition receptor signaling pathway [GO:0002753]; cytosolic ribosome assembly [GO:0042256]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; gamete generation [GO:0007276]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; lipid homeostasis [GO:0055088]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of gene expression [GO:0010629]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of mitochondrial translation [GO:0070131]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 8 signaling pathway [GO:0034161]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translation in response to endoplasmic reticulum stress [GO:0036493]; positive regulation of translational initiation [GO:0045948]; positive regulation of type I interferon production [GO:0032481]; positive regulation of viral genome replication [GO:0045070]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; stress granule assembly [GO:0034063]; translational initiation [GO:0006413]; Wnt signaling pathway [GO:0016055]
Death effector domain-containing protein (DEDPro1) (Death effector domain-containing testicular molecule) (FLDED-1)	DEDD DEDPRO1 DEFT KE05	decidualization [GO:0046697]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901837]; regulation of apoptotic process [GO:0042981]; spermatogenesis [GO:0007283]
DNA-binding death effector domain-containing protein 2 (DED-containing protein FLAME-3) (FADD-like anti-apoptotic molecule 3)	DEDD2 FLAME3 PSEC0004	apoptotic nuclear changes [GO:0030262]; cellular homeostasis [GO:0019725]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; intracellular signal transduction [GO:0035556]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; RNA processing [GO:0006396]; rRNA catabolic process [GO:0016075]
DAP3-binding cell death enhancer 1 (DAP3-binding cell death enhancer 1, long form) (DELE1(L)) (Death ligand signal enhancer) [Cleaved into: DAP3-binding cell death enhancer 1 short form (DELE1(S)) (S-DELE1) (cDELE1)]	DELE1 DELE KIAA0141	cellular response to stress [GO:0033554]; DNA damage response [GO:0006974]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; HRI-mediated signaling [GO:0140468]; positive regulation of mitophagy [GO:1901526]; response to iron ion starvation [GO:1990641]
DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	DFFA DFF1 DFF45 H13	apoptotic DNA fragmentation [GO:0006309]; apoptotic process [GO:0006915]; negative regulation of apoptotic DNA fragmentation [GO:1902511]; negative regulation of execution phase of apoptosis [GO:1900118]; positive regulation of apoptotic process [GO:0043065]; thymocyte apoptotic process [GO:0070242]
DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (Caspase-activated nuclease) (CPAN) (DNA fragmentation factor 40 kDa subunit) (DFF-40)	DFFB CAD DFF2 DFF40	apoptotic chromosome condensation [GO:0030263]; apoptotic DNA fragmentation [GO:0006309]; DNA catabolic process [GO:0006308]; negative regulation of apoptotic DNA fragmentation [GO:1902511]
Diablo IAP-binding mitochondrial protein (Diablo homolog, mitochondrial) (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspases) (SMAC) [Cleaved into: Diablo IAP-binding mitochondrial protein, cleaved form]	DIABLO SMAC	apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; neuron apoptotic process [GO:0051402]; positive regulation of apoptotic process [GO:0043065]
DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	DNAJB6 HSJ2 MRJ MSJ1	actin cytoskeleton organization [GO:0030036]; chorio-allantoic fusion [GO:0060710]; chorion development [GO:0060717]; extracellular matrix organization [GO:0030198]; intermediate filament organization [GO:0045109]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of inclusion body assembly [GO:0090084]; nervous system process [GO:0050877]; protein folding [GO:0006457]; protein localization to nucleus [GO:0034504]; regulation of cellular response to heat [GO:1900034]; regulation of protein localization [GO:0032880]; syncytiotrophoblast cell differentiation involved in labyrinthine layer development [GO:0060715]
Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	calcium ion transport [GO:0006816]; endocytosis [GO:0006897]; heart contraction [GO:0060047]; intracellular distribution of mitochondria [GO:0048312]; mitochondrial fission [GO:0000266]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrial membrane fission [GO:0090149]; mitochondrion organization [GO:0007005]; mitocytosis [GO:0160040]; peroxisome fission [GO:0016559]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of protein secretion [GO:0050714]; protein complex oligomerization [GO:0051259]; protein localization to mitochondrion [GO:0070585]; regulation of ATP metabolic process [GO:1903578]; regulation of gene expression [GO:0010468]; regulation of mitophagy [GO:1901524]; regulation of peroxisome organization [GO:1900063]; rhythmic process [GO:0048511]
Dipeptidyl peptidase 8 (DP8) (EC 3.4.14.5) (Dipeptidyl peptidase IV-related protein 1) (DPRP-1) (Dipeptidyl peptidase VIII) (DPP VIII) (Prolyl dipeptidase DPP8)	DPP8 DPRP1 MSTP097 MSTP135 MSTP141	apoptotic process [GO:0006915]; immune response [GO:0006955]; negative regulation of programmed cell death [GO:0043069]; proteolysis [GO:0006508]
EF-hand domain-containing protein D2 (Swiprosin-1)	EFHD2 SWS1	
Prolyl hydroxylase EGLN3 (EC 1.14.11.-) (Egl nine homolog 3) (EC 1.14.11.29) (HPH-1) (Hypoxia-inducible factor prolyl hydroxylase 3) (HIF-PH3) (HIF-prolyl hydroxylase 3) (HPH-3) (Prolyl hydroxylase domain-containing protein 3) (PHD3)	EGLN3	apoptotic process [GO:0006915]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; negative regulation of ferroptosis [GO:0110076]; protein hydroxylation [GO:0018126]; protein stabilization [GO:0050821]; regulation of neuron apoptotic process [GO:0043523]
Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97)	EIF4G2 DAP5 OK/SW-cl.75	cell death [GO:0008219]; negative regulation of autophagy [GO:0010507]; positive regulation of cell growth [GO:0030307]; regulation of cell cycle [GO:0051726]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]
Separin (EC 3.4.22.49) (Caspase-like protein ESPL1) (Extra spindle poles-like 1 protein) (Separase)	ESPL1 ESP1 KIAA0165	apoptotic process [GO:0006915]; establishment of mitotic spindle localization [GO:0040001]; homologous chromosome segregation [GO:0045143]; meiotic chromosome separation [GO:0051307]; meiotic spindle organization [GO:0000212]; mitotic cytokinesis [GO:0000281]; mitotic sister chromatid segregation [GO:0000070]; mitotic sister chromatid separation [GO:0051306]; negative regulation of sister chromatid cohesion [GO:0045875]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; proteolysis [GO:0006508]
FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity)	FADD MORT1 GIG3	apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; behavioral response to cocaine [GO:0048148]; cellular response to mechanical stimulus [GO:0071260]; death-inducing signaling complex assembly [GO:0071550]; defense response to virus [GO:0051607]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; innate immune response [GO:0045087]; kidney development [GO:0001822]; lymph node development [GO:0048535]; motor neuron apoptotic process [GO:0097049]; necroptotic signaling pathway [GO:0097527]; negative regulation of activation-induced cell death of T cells [GO:0070236]; negative regulation of necroptotic process [GO:0060546]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation [GO:2000454]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of innate immune response [GO:0045089]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of proteolysis [GO:0045862]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; positive regulation of type II interferon production [GO:0032729]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; T cell homeostasis [GO:0043029]; thymus development [GO:0048538]; TRAIL-activated apoptotic signaling pathway [GO:0036462]
Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS APT1 FAS1 TNFRSF6	activation-induced cell death of T cells [GO:0006924]; apoptotic process [GO:0006915]; cellular response to amino acid starvation [GO:0034198]; cellular response to hyperoxia [GO:0071455]; cellular response to mechanical stimulus [GO:0071260]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; Fas signaling pathway [GO:0036337]; immune response [GO:0006955]; motor neuron apoptotic process [GO:0097049]; necroptotic signaling pathway [GO:0097527]; negative regulation of apoptotic process [GO:0043066]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; regulation of stress-activated MAPK cascade [GO:0032872]; signal transduction [GO:0007165]
Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)	FGF2 FGFB	angiogenesis involved in coronary vascular morphogenesis [GO:0060978]; animal organ morphogenesis [GO:0009887]; behavioral response to ethanol [GO:0048149]; branching involved in ureteric bud morphogenesis [GO:0001658]; canonical Wnt signaling pathway [GO:0060070]; cell migration involved in sprouting angiogenesis [GO:0002042]; cellular response to mechanical stimulus [GO:0071260]; cerebellar granule cell precursor proliferation [GO:0021930]; chemotaxis [GO:0006935]; chondroblast differentiation [GO:0060591]; corticotropin hormone secreting cell differentiation [GO:0060128]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic morphogenesis [GO:0048598]; endothelial cell proliferation [GO:0001935]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast growth factor receptor signaling pathway [GO:0008543]; glial cell differentiation [GO:0010001]; growth factor dependent regulation of skeletal muscle satellite cell proliferation [GO:0014843]; hyaluronan catabolic process [GO:0030214]; inner ear auditory receptor cell differentiation [GO:0042491]; lung development [GO:0030324]; lymphatic endothelial cell migration [GO:1904977]; mammary gland epithelial cell differentiation [GO:0060644]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of fibroblast migration [GO:0010764]; negative regulation of gene expression [GO:0010629]; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway [GO:1903377]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of wound healing [GO:0061045]; nervous system development [GO:0007399]; neuroblast proliferation [GO:0007405]; neurogenesis [GO:0022008]; organ induction [GO:0001759]; osteoblast differentiation [GO:0001649]; paracrine signaling [GO:0038001]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel branching [GO:1905555]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell division [GO:0051781]; positive regulation of cell fate specification [GO:0042660]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cerebellar granule cell precursor proliferation [GO:0021940]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000546]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of epithelial tube formation [GO:1905278]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of inner ear auditory receptor cell differentiation [GO:0045609]; positive regulation of lens fiber cell differentiation [GO:1902748]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of neuroepithelial cell differentiation [GO:1902913]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of stem cell differentiation [GO:2000738]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; Ras protein signal transduction [GO:0007265]; regulation of angiogenesis [GO:0045765]; regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903587]; regulation of cell cycle [GO:0051726]; regulation of cell migration [GO:0030334]; regulation of cell migration involved in sprouting angiogenesis [GO:0090049]; regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000544]; regulation of retinal cell programmed cell death [GO:0046668]; release of sequestered calcium ion into cytosol [GO:0051209]; response to axon injury [GO:0048678]; response to wortmannin [GO:1904567]; signal transduction [GO:0007165]; stem cell development [GO:0048864]; stem cell proliferation [GO:0072089]; substantia nigra development [GO:0021762]; thyroid-stimulating hormone-secreting cell differentiation [GO:0060129]; transcription by RNA polymerase II [GO:0006366]; wound healing [GO:0042060]
