Organelle Contact Site Stress		
This table was generated by retriving a list of proteins related to Mitochondria-Associated ER Membranes, ER-Peroxisome, & ER-Golgi Tethering Stress found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	aerobic respiration [GO:0009060]; apoptotic process [GO:0006915]; blastocyst formation [GO:0001825]; camera-type eye morphogenesis [GO:0048593]; mitochondrial fusion [GO:0008053]; mitochondrial membrane organization [GO:0007006]; mitochondrion localization [GO:0051646]; negative regulation of Ras protein signal transduction [GO:0046580]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; protein localization to phagophore assembly site [GO:0034497]; protein targeting to mitochondrion [GO:0006626]; response to unfolded protein [GO:0006986]; type 2 mitophagy [GO:0061734]
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	NDUFA9 NDUFS2L	aerobic respiration [GO:0009060]; circadian rhythm [GO:0007623]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; sodium ion transport [GO:0006814]; ubiquinone biosynthetic process [GO:0006744]
Complex I intermediate-associated protein 30, mitochondrial (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1)	NDUFAF1 CIA30 CGI-65	chaperone-mediated protein complex assembly [GO:0051131]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; protein-containing complex assembly [GO:0065003]
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 (Hormone-regulated proliferation-associated protein of 20 kDa)	NDUFAF4 C6orf66 HRPAP20 HSPC125 My013	defense response to virus [GO:0051607]; mitochondrial respiratory chain complex I assembly [GO:0032981]
Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	NRP1 NRP VEGF165R	angiogenesis [GO:0001525]; angiogenesis involved in coronary vascular morphogenesis [GO:0060978]; animal organ morphogenesis [GO:0009887]; artery morphogenesis [GO:0048844]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; axonal fasciculation [GO:0007413]; axonogenesis involved in innervation [GO:0060385]; basal dendrite arborization [GO:0150020]; basal dendrite development [GO:0150018]; branching involved in blood vessel morphogenesis [GO:0001569]; branchiomotor neuron axon guidance [GO:0021785]; cell migration involved in sprouting angiogenesis [GO:0002042]; cell-cell signaling [GO:0007267]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; commissural neuron axon guidance [GO:0071679]; coronary artery morphogenesis [GO:0060982]; dichotomous subdivision of terminal units involved in salivary gland branching [GO:0060666]; dorsal root ganglion morphogenesis [GO:1904835]; endothelial cell chemotaxis [GO:0035767]; endothelial tip cell fate specification [GO:0097102]; facial nerve structural organization [GO:0021612]; facioacoustic ganglion development [GO:1903375]; gonadotrophin-releasing hormone neuronal migration to the hypothalamus [GO:0021828]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; integrin-mediated signaling pathway [GO:0007229]; motor neuron axon guidance [GO:0008045]; motor neuron migration [GO:0097475]; negative regulation of axon extension involved in axon guidance [GO:0048843]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of neuron apoptotic process [GO:0043524]; neural crest cell migration [GO:0001755]; neural crest cell migration involved in autonomic nervous system development [GO:1901166]; neuron migration [GO:0001764]; neuropilin signaling pathway [GO:0038189]; otic placode development [GO:1905040]; outflow tract septum morphogenesis [GO:0003148]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive chemotaxis [GO:0050918]; positive regulation of angiogenesis [GO:0045766]; positive regulation of axon extension involved in axon guidance [GO:0048842]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of phosphorylation [GO:0042327]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; postsynapse organization [GO:0099173]; protein localization to early endosome [GO:1902946]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]; regulation of vesicle-mediated transport [GO:0060627]; renal artery morphogenesis [GO:0061441]; response to wounding [GO:0009611]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; retinal ganglion cell axon guidance [GO:0031290]; semaphorin-plexin signaling pathway [GO:0071526]; sensory neuron axon guidance [GO:0097374]; signal transduction [GO:0007165]; sprouting angiogenesis [GO:0002040]; substrate-dependent cell migration, cell extension [GO:0006930]; symbiont entry into host cell [GO:0046718]; sympathetic ganglion development [GO:0061549]; sympathetic neuron projection extension [GO:0097490]; sympathetic neuron projection guidance [GO:0097491]; trigeminal ganglion development [GO:0061551]; trigeminal nerve structural organization [GO:0021637]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vasculogenesis [GO:0001570]; VEGF-activated neuropilin signaling pathway [GO:0038190]; ventral trunk neural crest cell migration [GO:0036486]; vestibulocochlear nerve structural organization [GO:0021649]
Polycystin-2 (PC2) (Autosomal dominant polycystic kidney disease type II protein) (Polycystic kidney disease 2 protein) (Polycystwin) (R48321) (Transient receptor potential cation channel subfamily P member 2)	PKD2 TRPP1 TRPP2	aorta development [GO:0035904]; branching involved in ureteric bud morphogenesis [GO:0001658]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cellular response to calcium ion [GO:0071277]; cellular response to cAMP [GO:0071320]; cellular response to fluid shear stress [GO:0071498]; cellular response to hydrostatic pressure [GO:0071464]; cellular response to osmotic stress [GO:0071470]; cellular response to reactive oxygen species [GO:0034614]; centrosome duplication [GO:0051298]; cilium organization [GO:0044782]; detection of mechanical stimulus [GO:0050982]; detection of nodal flow [GO:0003127]; determination of left/right symmetry [GO:0007368]; determination of liver left/right asymmetry [GO:0071910]; embryonic placenta development [GO:0001892]; establishment of localization in cell [GO:0051649]; heart development [GO:0007507]; heart looping [GO:0001947]; inorganic cation transmembrane transport [GO:0098662]; intracellular calcium ion homeostasis [GO:0006874]; liver development [GO:0001889]; mesonephric duct development [GO:0072177]; mesonephric tubule development [GO:0072164]; metanephric ascending thin limb development [GO:0072218]; metanephric cortex development [GO:0072214]; metanephric cortical collecting duct development [GO:0072219]; metanephric distal tubule development [GO:0072235]; metanephric mesenchyme development [GO:0072075]; metanephric part of ureteric bud development [GO:0035502]; metanephric S-shaped body morphogenesis [GO:0072284]; metanephric smooth muscle tissue development [GO:0072208]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; neural tube development [GO:0021915]; placenta blood vessel development [GO:0060674]; positive regulation of gene expression [GO:0010628]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway [GO:1900738]; positive regulation of transcription by RNA polymerase II [GO:0045944]; potassium ion transmembrane transport [GO:0071805]; protein heterotetramerization [GO:0051290]; protein homotetramerization [GO:0051289]; protein tetramerization [GO:0051262]; regulation of calcium ion import [GO:0090279]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; release of sequestered calcium ion into cytosol [GO:0051209]; renal artery morphogenesis [GO:0061441]; renal tubule morphogenesis [GO:0061333]; sodium ion transmembrane transport [GO:0035725]; spinal cord development [GO:0021510]; Wnt signaling pathway [GO:0016055]
Phosphatidylserine synthase 1 (PSS-1) (PtdSer synthase 1) (EC 2.7.8.29) (Serine-exchange enzyme I)	PTDSS1 KIAA0024 PSSA	phosphatidylserine biosynthetic process [GO:0006659]
Thioredoxin-related transmembrane protein 1 (Protein disulfide-isomerase TMX1) (EC 5.3.4.1) (Thioredoxin domain-containing protein 1) (Transmembrane Trx-related protein)	TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268	negative regulation of platelet aggregation [GO:0090331]; negative regulation of triglyceride biosynthetic process [GO:0010868]; positive regulation of ERAD pathway [GO:1904294]; regulation of calcium ion transport [GO:0051924]; response to endoplasmic reticulum stress [GO:0034976]
Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	TOMM20 KIAA0016	intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial outer membrane [GO:0045040]; protein targeting to mitochondrion [GO:0006626]; tRNA import into mitochondrion [GO:0016031]
Mitochondrial import receptor subunit TOM22 homolog (hTom22) (1C9-2) (Translocase of outer membrane 22 kDa subunit homolog)	TOMM22 TOM22	intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial outer membrane [GO:0045040]; protein targeting to mitochondrion [GO:0006626]
Mitochondrial import receptor subunit TOM40 homolog (Protein Haymaker) (Translocase of outer membrane 40 kDa subunit homolog) (p38.5)	TOMM40 C19orf1 PEREC1 TOM40	monoatomic ion transport [GO:0006811]; protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial outer membrane [GO:0045040]; protein targeting to mitochondrion [GO:0006626]
Mitochondrial import receptor subunit TOM5 homolog	TOMM5 C9orf105 TOM5	protein insertion into mitochondrial outer membrane [GO:0045040]; protein targeting to mitochondrion [GO:0006626]; protein transport [GO:0015031]
Mitochondrial import receptor subunit TOM6 homolog (Overexpressed breast tumor protein) (Translocase of outer membrane 6 kDa subunit homolog)	TOMM6 OBTP TOM6	protein insertion into mitochondrial outer membrane [GO:0045040]; protein transport [GO:0015031]
Non-selective voltage-gated ion channel VDAC3 (VDAC-3) (hVDAC3) (Outer mitochondrial membrane protein porin 3)	VDAC3	adenine transport [GO:0015853]; behavioral fear response [GO:0001662]; learning [GO:0007612]; neuron-neuron synaptic transmission [GO:0007270]; sperm mitochondrial sheath assembly [GO:0120317]; spermatogenesis [GO:0007283]
Androgen-induced gene 1 protein (AIG-1) (Fatty acid esters of hydroxy fatty acids hydrolase AIG1) (FAHFA hydrolase AIG1) (EC 3.1.-.-)	AIG1 CGI-103	long-chain fatty acid catabolic process [GO:0042758]
Ceramide transfer protein (hCERT) (Collagen type IV alpha-3-binding protein) (Goodpasture antigen-binding protein) (GPBP) (START domain-containing protein 11) (StARD11) (StAR-related lipid transfer protein 11)	CERT1 CERT COL4A3BP STARD11	cell morphogenesis [GO:0000902]; cell population proliferation [GO:0008283]; ceramide metabolic process [GO:0006672]; ceramide transport [GO:0035627]; endoplasmic reticulum organization [GO:0007029]; ER to Golgi ceramide transport [GO:0035621]; heart morphogenesis [GO:0003007]; immune response [GO:0006955]; in utero embryonic development [GO:0001701]; intermembrane lipid transfer [GO:0120009]; intermembrane sphingolipid transfer [GO:0120012]; lipid homeostasis [GO:0055088]; mitochondrion organization [GO:0007005]; muscle contraction [GO:0006936]; response to endoplasmic reticulum stress [GO:0034976]; signal transduction [GO:0007165]; sphingomyelin biosynthetic process [GO:0006686]
Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein)	EBAG9 RCAS1	adaptive immune memory response involving T cells and B cells [GO:0090717]; regulation of cell growth [GO:0001558]; T cell mediated cytotoxicity [GO:0001913]
3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Cholesterol-5,6-epoxide hydrolase subunit EBP) (EC 3.3.2.11) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein)	EBP	cholesterol biosynthetic process [GO:0006695]; cholesterol biosynthetic process via desmosterol [GO:0033489]; cholesterol biosynthetic process via lathosterol [GO:0033490]; cholesterol metabolic process [GO:0008203]; hemopoiesis [GO:0030097]; ossification involved in bone maturation [GO:0043931]
Emerin	EMD EDMD STA	amyloid fibril formation [GO:1990000]; cellular response to growth factor stimulus [GO:0071363]; muscle contraction [GO:0006936]; muscle organ development [GO:0007517]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of fibroblast proliferation [GO:0048147]; nuclear membrane organization [GO:0071763]; positive regulation of protein export from nucleus [GO:0046827]; regulation of canonical Wnt signaling pathway [GO:0060828]; skeletal muscle cell differentiation [GO:0035914]
Membrane protein FAM174A (Hepatitis C virus NS5A-transactivated protein 6) (HCV NS5A-transactivated protein 6) (Transmembrane protein 157)	FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371	
17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.1.-) (EC 1.1.1.62) (Hepatic retinol/retinal dehydrogenase) (EC 1.1.1.105) (Short chain dehydrogenase/reductase family 16C member 3) (Short-chain dehydrogenase/reductase 9)	HSD17B13 SCDR9 SDR16C3 HMFN0376 UNQ497/PRO1014	lipid metabolic process [GO:0006629]; positive regulation of lipid biosynthetic process [GO:0046889]
Oxysterol-binding protein 1	OSBP OSBP1	bile acid biosynthetic process [GO:0006699]; ceramide transport [GO:0035627]; intracellular cholesterol transport [GO:0032367]; lipid transport [GO:0006869]; phospholipid transport [GO:0015914]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of secretory granule organization [GO:1904411]; sphingomyelin biosynthetic process [GO:0006686]; sterol transport [GO:0015918]
Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)	OSBPL11 ORP11 OSBP12	fat cell differentiation [GO:0045444]; intermembrane lipid transfer [GO:0120009]; triglyceride homeostasis [GO:0070328]
Pleckstrin homology domain-containing family A member 3 (PH domain-containing family A member 3) (Phosphatidylinositol-four-phosphate adapter protein 1) (FAPP-1) (Phosphoinositol 4-phosphate adapter protein 1)	PLEKHA3 FAPP1	endosome organization [GO:0007032]; receptor recycling [GO:0001881]; retrograde transport, endosome to Golgi [GO:0042147]
Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)	PTGES MGST1L1 MPGES1 PGES PIG12	cell population proliferation [GO:0008283]; cyclooxygenase pathway [GO:0019371]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of prostaglandin secretion [GO:0032308]; prostaglandin biosynthetic process [GO:0001516]; prostaglandin metabolic process [GO:0006693]; regulation of fever generation [GO:0031620]; regulation of inflammatory response [GO:0050727]; sensory perception of pain [GO:0019233]; signal transduction [GO:0007165]
Receptor expression-enhancing protein 4	REEP4 C8orf20 PP432	cell division [GO:0051301]; endoplasmic reticulum tubular network organization [GO:0071786]; mitotic nuclear membrane reassembly [GO:0007084]; nuclear envelope organization [GO:0006998]
Regulator of microtubule dynamics protein 2 (RMD-2) (hRMD-2) (Protein FAM82A1)	RMDN2 FAM82A FAM82A1 BLOCK18 UNQ9371/PRO34163	
Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	SACM1L KIAA0851 SAC1	exocytic insertion of neurotransmitter receptor to postsynaptic membrane [GO:0098967]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol dephosphorylation [GO:0046856]; vesicle-mediated transport in synapse [GO:0099003]
Solute carrier family 35 member H1 (Ovarian cancer-overexpressed gene 1 protein) (Solute carrier family 35 member C2)	SLC35H1 C20orf5 OVCOV1 SLC35C2 CGI-15	negative regulation of gene expression [GO:0010629]; positive regulation of Notch signaling pathway [GO:0045747]; protein O-linked glycosylation via fucose [GO:0036066]; UDP-glucose transmembrane transport [GO:0015786]
StAR-related lipid transfer protein 3 (Metastatic lymph node gene 64 protein) (MLN 64) (Protein CAB1) (START domain-containing protein 3) (StARD3)	STARD3 CAB1 MLN64	cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; lipid metabolic process [GO:0006629]; mitochondrial transport [GO:0006839]; progesterone biosynthetic process [GO:0006701]; steroid metabolic process [GO:0008202]; vesicle tethering to endoplasmic reticulum [GO:0099044]
Tetratricopeptide repeat protein 39B (TPR repeat protein 39B)	TTC39B C9orf52	cholesterol homeostasis [GO:0042632]; lipid metabolic process [GO:0006629]; negative regulation of cholesterol storage [GO:0010887]; regulation of cholesterol efflux [GO:0010874]; regulation of cholesterol metabolic process [GO:0090181]
Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	VAPA VAP33	ceramide transport [GO:0035627]; cholesterol transport [GO:0030301]; COPII-coated vesicle budding [GO:0090114]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum-plasma membrane tethering [GO:0061817]; host-mediated activation of viral genome replication [GO:0044829]; host-mediated suppression of viral genome replication [GO:0044828]; membrane fusion [GO:0061025]; neuron projection development [GO:0031175]; phospholipid transport [GO:0015914]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; protein localization to endoplasmic reticulum [GO:0070972]; sphingomyelin biosynthetic process [GO:0006686]; sterol transport [GO:0015918]; viral release from host cell [GO:0019076]
Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB UNQ484/PRO983	cholesterol transport [GO:0030301]; COPII-coated vesicle budding [GO:0090114]; endoplasmic reticulum membrane organization [GO:0090158]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum unfolded protein response [GO:0030968]; endoplasmic reticulum-plasma membrane tethering [GO:0061817]; host-mediated activation of viral genome replication [GO:0044829]; host-mediated perturbation of viral RNA genome replication [GO:0044830]; host-mediated suppression of viral genome replication [GO:0044828]; intracellular calcium ion homeostasis [GO:0006874]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation by virus of viral protein levels in host cell [GO:0046725]; positive regulation of viral genome replication [GO:0045070]; suppression of viral release by host [GO:0044790]; viral release from host cell [GO:0019076]
WD repeat-containing protein 44 (Rab11-binding protein) (Rab11BP) (Rabphilin-11)	WDR44 RPH11	cytosolic ciliogenesis [GO:0061824]; negative regulation of cilium assembly [GO:1902018]; regulation of vesicle-mediated transport [GO:0060627]
Protein YIF1A (54TMp) (YIP1-interacting factor homolog A)	YIF1A 54TM HYIF1P YIF1	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]
